waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
1,1,0,12,2,1 9,1 1,
1,2,0,12,2,2 10,1 1,
1,9999,0,0,0,9999,1,888
1,9999,3,0,0,9999,1,889
1,9999,6,0,0,9999,1,890
1,9999,9,0,0,9999,1,891
1,9999,12,0,0,9999,1,892
1,9999,15,0,0,9999,1,893
2,48,0,21600,0,31201,1,
2,3,0,21600,3,25 33,1 1,
2,4,0,21600,3,26 34,1 1,
2,5,0,21600,2,1 9,1 1,
2,6,0,21600,2,2 10,1 1,
2,7,0,21600,3,1 17,1 1,
2,8,0,21600,3,2 18,1 1,
2,9,0,21600,2,1 33,1 1,
2,10,0,21600,2,9 18,1 1,
2,11,0,21600,3,1 9,1 1,
2,12,0,21600,3,1 17,1 1,
2,13,0,21600,2,10 18,1 1,
2,14,0,21600,2,2 10,1 1,
2,201,0,21600,3,25 51,1 1,
2,202,0,21600,3,51 52,1 1,
2,9999,0,21600,0,9999,1,896
3,11,0,21600,3,1 9,1 1,
3,12,0,21600,3,2 10,1 1,
3,13,0,21600,2,1 25,1 1,
3,14,0,21600,2,9 33,1 1,
3,15,0,21600,3,17 33,1 1,
3,16,0,21600,3,18 34,1 1,
3,17,0,21600,2,1 9,1 1,
3,18,3,21600,2,2 10,1 1,
3,19,0,21600,3,47 51,1 1,
3,20,0,21600,3,48 52,1 1,
4,17,0,21600,2,2 10,1 1,
4,18,0,21600,2,18 52,1 1,
4,19,0,21600,3,33 47,1 1,
4,20,0,21600,3,34 48,1 1,
4,21,0,21600,2,1 33,1 1,
4,22,0,21600,2,2 34,1 1,
4,23,0,21600,3,9 51,1 1,
4,24,0,21600,3,10 52,1 1,
4,29,0,21600,2,1 10,1 1,
4,30,0,21600,2,2 11,1 1,
4,31,0,21600,0,500,1,
4,32,0,21600,0,501,1,
5,33,0,21600,3,3 11,1 1,
5,34,0,21600,3,4 12,1 1,
5,35,0,21600,2,18 34,1 1,
5,36,0,21600,2,19 35,1 1,
5,37,0,21600,3,2 18,1 1,
5,38,0,21600,3,3 19,1 1,
5,41,0,21600,2,10 52,1 1,
5,43,0,21600,2,11 53,1 1,
5,44,0,21600,2,4 19,1 1,
5,46,0,21600,2,12 19,1 1,
5,42,0,21600,0,500,1,
5,45,0,21600,0,501,1,
5,47,0,21600,0,500,1,
5,49,0,21600,0,501,1,
5,9999,0,0,0,9999,1,898
5,9999,3,0,0,9999,1,899
6,47,0,21600,3,3 11,1 1,
6,48,0,21600,3,4 12,1 1,
6,49,0,21600,2,19 27,1 1,
6,50,0,21600,2,3 11,1 1,
6,51,0,21600,2,4 12,1 1,
6,52,0,21600,2,20 28,1 1,
6,53,0,21600,3,19 35,1 1,
6,54,0,21600,3,12 53,1 1,
6,55,0,21600,2,19 48,1 1,
6,56,0,21600,2,4 53,1 1,
7,57,0,21600,3,3 11,1 1,
7,58,0,21600,3,4 12,1 1,
7,59,0,21600,2,12 36,1 1,
7,60,0,21600,2,4 20,1 1,
7,61,0,21600,3,20 36,1 1,
7,62,0,21600,3,3 11,1 1,
7,63,0,21600,2,48 53,1 1,
7,64,0,21600,2,4 12,1 1,
7,65,0,21600,0,503,1,
7,9999,0,0,0,9999,1,904
8,57,0,21600,3,48 53,1 1,
8,58,0,21600,3,20 36,1 1,
8,59,0,21600,2,11 25,1 1,
8,60,0,21600,2,4 25,1 1,
8,61,0,21600,3,12 25,1 1,
8,62,0,21600,3,19 25,1 1,
8,63,0,21600,2,20 25,1 1,
8,64,0,21600,2,25 28,1 1,
8,66,0,21600,3,3 11,1 1,
8,67,0,21600,3,4 12,1 1,
8,68,0,21600,2,19 27,1 1,
8,69,0,21600,2,20 28,1 1,
9,61,0,21600,3,48 53,1 1,
9,62,0,21600,3,20 36,1 1,
9,63,0,21600,2,11 25,1 1,
9,64,0,21600,2,4 25,1 1,
9,66,0,21600,3,12 25,1 1,
9,67,0,21600,3,19 25,1 1,
9,68,0,21600,2,20 25,1 1,
9,69,0,21600,3,25 28,1 1,
9,70,0,21600,0,502,1,
9,71,0,21600,3,3 11,1 1,
9,72,0,21600,3,4 12,1 1,
9,73,0,21600,2,19 27,1 1,
9,74,0,21600,2,20 28,1 1,
10,66,0,21600,3,4 12,1 1,
10,67,0,21600,3,5 13,1 1,
10,68,0,21600,2,29 49,1 1,
10,69,0,21600,2,49 53,1 1,
10,71,0,21600,3,4 12,1 1,
10,72,0,21600,3,5 13,1 1,
10,73,0,21600,2,21 37,1 1,
10,74,0,21600,2,4 20,1 1,
11,66,0,21600,3,4 12,1 1,
11,67,0,21600,3,5 13,1 1,
11,68,0,21600,2,29 49,1 1,
11,69,0,21600,2,49 53,1 1,
11,71,0,21600,3,4 12,1 1,
11,72,0,21600,3,5 13,1 1,
11,73,0,21600,3,21 37,1 1,
11,74,0,21600,3,4 20,1 1,
11,9999,0,0,0,9999,1,906
11,9999,3,0,0,9999,1,907
11,9999,6,0,0,9999,1,908
11,9999,9,0,0,9999,1,909
11,9999,12,0,0,9999,1,910
11,9999,15,0,0,9999,1,911
12,79,0,21600,3,4 12,1 1,
12,80,0,21600,2,13 21,1 1,
12,81,0,21600,2,151 152,1 1,
12,82,0,21600,3,151 152,1 1,
12,83,0,21600,3,151 152,1 1,
12,84,0,21600,2,151 152,1 1,
12,85,0,21600,2,151 152,1 1,
12,86,0,21600,3,151 152,1 1,
12,87,0,21600,3,151 152,1 1,
12,88,0,21600,3,151 152,1 1,
12,9999,0,0,0,9999,1,912
12,9999,3,0,0,9999,1,913
12,9999,6,0,0,9999,1,914
12,9999,9,0,0,9999,1,915
13,85,0,21600,3,151 152,1 1,
13,86,0,21600,2,151 152,1 1,
13,87,0,21600,2,151 152,1 1,
13,88,0,21600,3,151 152,1 1,
13,89,0,21600,3,151 152,1 1,
13,90,0,21600,2,151 152,1 1,
13,91,0,21600,2,151 152,1 1,
14,92,0,21600,3,151 152,1 1,
14,93,0,21600,3,151 152,1 1,
14,94,0,21600,3,151 152,1 1,
14,95,0,21600,3,151 152,1 1,
15,87,0,21600,2,151 152,1 1,
15,88,0,21600,2,151 152,1 1,
15,92,0,21600,3,151 152,1 1,
15,93,0,21600,3,151 152,1 1,
15,94,0,21600,3,151 152,1 1,
15,95,0,21600,3,151 152,1 1,
16,87,0,21600,2,151 152,1 1,
16,88,0,21600,2,151 152,1 1,
16,92,0,21600,2,151 152,1 1,
16,93,0,21600,2,151 152,1 1,
16,94,0,21600,2,151 152,1 1,
16,95,0,21600,2,151 152,1 1,
16,9999,0,0,0,9999,1,916
16,9999,2,0,0,9999,1,917
16,9999,4,0,0,9999,1,918
16,9999,6,0,0,9999,1,919
16,9999,9,0,0,9999,1,920
16,9999,12,0,0,9999,1,921
16,9999,15,0,0,9999,1,922
16,9999,18,0,0,9999,1,923
17,101,0,21600,30,201,1,
17,102,15,21600,15,201,1,
17,104,0,21600,30,201,1,
17,107,0,21600,30,201,1,
17,108,15,21600,15,201,1,
17,110,0,21600,30,201,1,
17,9999,0,0,0,9999,1,924
17,9999,10,0,0,9999,1,925
18,112,0,21600,10,58,1,
18,113,0,21600,10,58,1,
18,114,0,21600,10,58,1,
18,115,0,21600,10,58,1,
19,112,0,21600,10,58,1,
19,113,0,21600,10,58,1,
19,114,0,21600,10,58,1,
19,115,0,21600,10,58,1,
20,117,0,21600,30,201,1,
20,119,15,21600,30,201,1,
20,121,0,21600,30,201,1,
20,123,15,21600,30,201,1,
20,125,0,21600,30,201,1,
20,127,15,21600,30,201,1,
20,9999,0,0,0,9999,1,926
20,9999,3,0,0,9999,1,927
21,128,0,21600,2,50,1,
21,129,0,21600,3,50,1,
21,130,0,21600,2,50,1,
22,128,0,21600,3,50,1,
22,129,0,21600,2,50,1,
22,130,0,21600,3,50,1,
22,131,0,21600,2,7 15,1 1,
22,132,0,21600,3,15 23,1 1,
22,133,0,21600,2,23 31,1 1,
22,134,0,21600,3,31 39,1 1,
22,9999,0,0,0,9999,1,928
23,135,0,21600,2,7 15,1 1,
23,136,0,21600,2,15 23,1 1,
23,137,0,21600,2,23 31,1 1,
23,138,0,21600,2,31 39,1 1,
23,139,0,21600,2,39 50,1 1,
23,140,0,21600,2,50 55,1 1,
23,141,0,21600,2,55 60,1 1,
23,142,0,21600,2,7 15,1 1,
23,143,0,21600,2,15 23,1 1,
23,144,0,21600,2,23 31,1 1,
23,145,3,21600,2,31 39,1 1,
23,146,6,21600,2,39 50,1 1,
23,147,0,21600,2,50 55,1 1,
23,148,0,21600,2,55 60,1 1,
23,9999,0,0,0,9999,1,732
30,1001,0,21600,0,32000,1,
30,1002,0,21600,0,32001,1,
30,135,0,21600,15,100 102,1 1,
30,136,0,21600,15,101 103,1 1,
30,137,0,21600,15,104 106,1 1,
30,138,0,21600,15,105 107,1 1,
30,139,0,21600,15,108 111,1 1,
30,140,0,21600,15,109 112,1 1,
30,141,0,21600,15,100 110,1 1,
30,142,0,21600,30,100 102,1 1,
30,143,0,21600,30,101 103,1 1,
30,144,0,21600,30,104 106,1 1,
30,145,0,21600,30,105 107,1 1,
30,146,0,21600,30,108 111,1 1,
30,147,0,21600,30,109 112,1 1,
30,148,0,21600,30,100 110,1 1,
30,9999,0,0,0,9999,1,929
30,9999,3,0,0,9999,1,930
30,9999,6,0,0,9999,1,931
30,9999,9,0,0,9999,1,932
30,9999,12,0,0,9999,1,933
