id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem,exp
1,zombi_host,4,60,3,400,50,110,250,0,0,255 255 255,0,101,0,0,1,205
2,zombi_origin,10,60,3,450,70,110,300,0,1,255 255 255,0,101,0,0,1,240
3,zombi_host,15,70,2,600,90,120,350,0,0,255 255 255,0,101,0,0,1,275
4,zombi_origin,25,70,2,650,110,120,450,0,1,255 255 255,0,101,0,0,1,345
5,zombi_host,30,75,2,800,130,120,650,0,0,255 255 255,0,101,0,0,1,485
6,zombi_origin,35,75,2,850,150,120,800,0,1,255 255 255,0,101,0,0,1,590
7,zombi_host,35,75,2,1100,170,120,1000,0,0,255 255 255,0,101,0,0,1,730
8,zombi_origin,40,75,2,1200,190,120,1200,0,1,255 255 255,0,101,0,0,1,870
9,speed_zombi_host,5,60,2,60,15,200,250,0,0,255 255 255,0,110,0,0,1,205
10,speed_zombi_origin,13,70,2,80,20,200,325,0,2,255 255 255,0,111,0,0,1,258
11,speed_zombi_host,16,80,2,100,50,200,425,0,0,255 255 255,0,110,0,0,1,328
12,speed_zombi_origin,22,80,2,160,60,200,500,0,2,255 255 255,0,111,0,0,1,380
13,speed_zombi_host,26,85,2,250,100,200,650,0,0,255 255 255,0,110,0,0,1,485
14,speed_zombi_origin,30,85,2,300,125,220,800,0,2,255 255 255,0,111,0,0,1,590
15,speed_zombi_origin,35,85,2,340,125,220,1100,0,2,255 255 255,0,111,0,0,1,800
16,speed_zombi_origin,40,85,2,400,125,220,1300,0,2,255 255 255,0,111,0,0,1,940
17,heavy_zombi_host,10,40,4,2000,500,85,550,0,0,255 255 255,0,121,0,0,1,415
18,heavy_zombi_origin,15,50,4,2000,550,85,650,0,3,255 255 255,0,121,0,0,1,485
19,heavy_zombi_host,20,50,4,2500,600,90,750,0,0,255 255 255,0,121,0,0,1,555
20,heavy_zombi_origin,25,60,4,2900,700,90,850,0,3,255 255 255,0,121,0,0,1,625
21,heavy_zombi_host,30,60,3,3200,800,95,1050,0,0,255 255 255,0,121,0,0,1,765
22,heavy_zombi_origin,35,70,3,4000,950,95,1200,0,3,255 255 255,0,121,0,0,1,870
23,heavy_zombi_origin,40,70,3,5100,1200,100,1500,0,3,255 255 255,0,121,0,0,1,1080
24,heavy_zombi_origin,42,70,3,6400,1300,100,1650,0,3,255 255 255,0,121,0,0,1,1185
25,pc_zombi_host,8,60,3,300,80,245,300,0,0,255 255 255,0,130,0,0,1,240
26,pc_zombi_origin,12,65,3,330,90,245,350,0,0,255 255 255,0,130,0,0,1,275
27,pc_zombi_host,20,70,3,450,100,245,375,0,0,255 255 255,0,130,0,0,1,293
28,pc_zombi_origin,30,75,3,470,110,245,450,0,0,255 255 255,0,130,0,0,1,345
29,pc_zombi_host,35,75,2,640,120,250,650,0,0,255 255 255,0,130,0,0,1,485
30,pc_zombi_origin,40,80,2,650,130,250,900,0,0,255 255 255,0,130,0,0,1,660
31,pc_zombi_origin,40,80,2,750,140,250,1000,0,0,255 255 255,0,130,0,0,1,730
32,pc_zombi_origin,40,80,2,790,150,250,1200,0,0,255 255 255,0,130,0,0,1,870
33,heal_zombi_origin,10,60,3,400,80,160,475,0,0,255 255 255,0,141,0,0,1,363
34,heal_zombi_host,15,70,3,500,100,160,550,0,0,255 255 255,0,141,0,0,1,415
35,heal_zombi_origin,20,70,3,600,100,160,625,0,0,255 255 255,0,141,0,0,1,468
36,heal_zombi_host,25,70,3,700,100,160,700,0,0,255 255 255,0,141,0,0,1,520
37,heal_zombi_origin,30,80,3,800,150,160,800,0,0,255 255 255,0,141,0,0,1,590
38,heal_zombi_host,30,80,3,900,200,160,1000,0,0,255 255 255,0,141,0,0,1,730
39,heal_zombi_host,35,80,3,1000,200,160,1200,0,0,255 255 255,0,141,0,0,1,870
40,heal_zombi_host,35,80,3,1100,200,160,1400,0,0,255 255 255,0,141,0,0,1,1010
41,zombi_origin,10,80,2,300,55,270,450,0,1,255 255 255,0,101,0,0,1,345
42,speed_zombi_origin,15,90,1,450,55,270,500,0,0,255 255 255,0,111,0,0,1,380
43,heavy_zombi_origin,10,70,3,550,65,280,800,0,0,255 255 255,0,121,0,0,1,590
44,pc_zombi_origin,10,75,2,600,65,280,450,0,0,255 255 255,0,130,0,0,1,345
45,heal_zombi_host,10,70,3,625,70,290,550,0,0,255 255 255,0,141,0,0,1,415
46,zombiedog,45,75,2,1000,100,90,350,0,12,255 255 255,0,101,0,0,1,275
47,zombiedog,15,55,2,1250,150,90,375,0,12,255 255 255,0,144,0,0,1,293
48,zombiedog,20,55,2,1500,150,90,400,0,12,255 255 255,0,144,0,0,1,310
49,zombiedog,25,55,2,2000,200,90,425,0,12,255 255 255,0,144,0,0,1,328
50,zombiedog,30,55,2,2250,200,90,550,0,12,255 255 255,0,144,0,0,1,415
