,id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
µÓ¿Â,1005,195,255,999999,1,scene_appear,0,100,0,0,0,0,0,1000,99,100,10000,1151,600,200,0
attack1,1005,196,5,5,2.3,zbs_attack1,0.8,50,60,5,13,2,0,10,55,100,15,-1,300,500,0
attack1,1005,196,5,5,2.3,zbs_attack1,0.8,100,60,5,13,2,0,10,0,54,15,-1,300,500,0
attack2,1005,197,10,8,1.7,zbs_attack2,0.8,75,360,5,13,2,0,10,75,100,20,-1,300,500,0
attack2,1005,197,10,8,1.7,zbs_attack2,0.8,125,360,5,13,2,0,10,50,74,20,-1,300,500,0
attack2,1005,197,10,8,1.7,zbs_attack2,0.8,175,360,5,13,2,0,20,25,49,20,-1,300,500,0
attack3,1005,198,15,10,4.03,zbs_attack3,0.8,100,360,5,20,3,0,50,51,95,20,-1,300,500,0
attack3,1005,198,15,10,4.03,zbs_attack3,0.8,165,360,5,20,3,0,50,0,50,20,-1,300,500,0
dash,1005,199,20,12,2.03,zbs_dash_start,0,250,0,0,0,1,0,1000,55,95,0,1157,800,400,2000
dash,1005,199,20,12,2.03,zbs_dash_start,0,300,0,0,0,1,0,1000,0,54,0,1157,800,400,2500
dash2,1005,200,25,15,2.03,zbs_dash_start,0,350,0,0,0,1,0,1000,65,80,0,1157,800,400,2000
dash2,1005,200,25,15,2.03,zbs_dash_start,0,400,0,0,0,1,0,1000,42,64,0,1157,800,400,2500
dash2,1005,200,25,15,2.03,zbs_dash_start,0,500,0,0,0,1,0,1000,23,41,0,1157,800,400,2500
dash2,1005,200,25,20,2.03,zbs_dash_start,0,550,0,0,0,1,0,1000,0,22,0,1157,800,400,2500
meteokick,1005,201,235,25,0.5,zbs_jump_start,0,250,0,5,25,0,0,1000,69,95,0,1159,800,400,3000
meteokick,1005,201,235,25,0.5,zbs_jump_start,0,325,0,5,30,0,0,1000,33,68,0,1159,800,400,3000
meteokick,1005,201,235,25,0.5,zbs_jump_start,0,400,0,5,30,0,0,1000,0,32,0,1159,800,400,3000
call,1005,202,240,65,2.36,zbs_call_start,0,30,0,0,35,0,0,1000,68,96,10000,1158,600,200,800
call,1005,202,240,65,2.36,zbs_call_start,0,45,0,0,35,0,0,1000,34,67,10000,1158,600,200,800
call,1005,202,240,65,2.36,zbs_call_start,0,75,0,0,35,0,0,1000,0,33,10000,1158,600,200,800
jump,1005,203,33,23,0.5,zbs_jump_start,0,250,0,5,10,0,0,1000,75,94,0,1160,800,400,2000
jump,1005,203,33,22,0.5,zbs_jump_start,0,250,0,5,10,0,0,1000,50,75,0,1160,800,400,2000
jump,1005,203,33,21,0.5,zbs_jump_start,0,250,0,5,10,0,0,1000,0,50,0,1160,800,400,2000
