x,y,z,pitch,yaw,roll,type,useCount,difficulty,model
-886,-1363,2116,0,90,0,2,-1,2,models/bg_armorbox_group.mdl
-886,-1307,2104,0,-90,0,3,-1,2,models/bg_ammobox_group.mdl
-884,-1254,2104,0,180,0,1,1,2,models/bg_medibox_group.mdl
-138,619,1832,0,-90,0,2,-1,2,models/bg_armorbox_group.mdl
-138,563,1820,0,90,0,3,-1,2,models/bg_ammobox_group.mdl
-140,658,1820,0,0,0,1,1,2,models/bg_medibox_group.mdl
-547,422,1832,0,180,0,2,-1,2,models/bg_armorbox_group.mdl
-604,422,1820,0,0,0,3,-1,2,models/bg_ammobox_group.mdl
-656,424,1820,0,-90,0,1,1,2,models/bg_medibox_group.mdl
-1286,809,1628,0,-90,0,2,-1,2,models/bg_armorbox_group.mdl
-1286,752,1616,0,90,0,3,-1,2,models/bg_ammobox_group.mdl
-1288,696,1616,0,0,0,1,1,2,models/bg_medibox_group.mdl
-1598,755,1412,0,90,0,2,-1,2,models/bg_armorbox_group.mdl
-1586,812,1400,0,-90,0,3,-1,2,models/bg_ammobox_group.mdl
-1584,868,1400,0,180,0,1,1,2,models/bg_medibox_group.mdl
441,-158,1469,0,180,0,2,-1,2,models/bg_armorbox_group.mdl
497,-160,1457,0,180,0,3,-1,2,models/bg_ammobox_group.mdl
554,-162,1457,0,90,0,1,1,2,models/bg_medibox_group.mdl
666,1048,1253,0,0,0,1,1,2,models/bg_medibox_group.mdl
668,1105,1253,0,90,0,3,-1,2,models/bg_ammobox_group.mdl
670,1161,1265,0,90,0,2,-1,2,models/bg_armorbox_group.mdl
