waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
1,9999,3,0,0,9999,1,1137
1,9999,6,0,0,9999,1,1138
1,9999,9,0,0,9999,1,1139
1,9999,12,0,0,9999,1,1150
1,301,0,21600,5,1 2,1 1,
1,302,0,21600,5,9 10,1 1,
1,303,0,21600,5,17 18,1 1,
1,304,0,21600,5,25 26,1 1,
1,305,0,21600,5,33 34,1 1,
1,306,0,21600,5,63 64,1 1,
1,307,0,21600,5,56 57,1 1,
1,308,0,21600,5,47 48,1 1,
1,309,0,21600,5,1 2,1 1,
1,310,0,21600,5,9 10,1 1,
1,311,0,21600,5,17 18,1 1,
1,312,0,21600,5,63 64,1 1,
1,313,0,21600,5,33 34,1 1,
1,314,0,21600,5,51 52,1 1,
1,315,0,21600,5,56 57,1 1,
1,316,0,21600,5,47 48,1 1,
1,317,0,21600,5,1 2,1 1,
1,318,0,21600,5,63 64,1 1,
2,9999,2,0,0,9999,1,1140
2,319,0,21600,5,7 8,1 1,
2,320,0,21600,5,15 16,1 1,
2,321,0,21600,5,23 24,1 1,
2,322,0,21600,5,31 32,1 1,
2,323,0,21600,5,39 40,1 1,
2,324,0,21600,5,63 64,1 1,
2,325,0,21600,5,15 16,1 1,
2,326,0,21600,5,23 24,1 1,
2,327,0,21600,5,31 32,1 1,
2,328,0,21600,5,39 40,1 1,
2,329,0,21600,5,7 8,1 1,
2,330,0,21600,5,63 64,1 1,
2,331,0,21600,5,23 24,1 1,
2,332,0,21600,5,31 32,1 1,
2,333,0,21600,5,39 40,1 1,
2,334,0,21600,5,7 8,1 1,
2,335,0,21600,5,15 16,1 1,
2,336,0,21600,5,63 64,1 1,
2,337,0,21600,5,31 32,1 1,
2,338,0,21600,5,39 40,1 1,
2,339,0,21600,5,7 8,1 1,
2,340,0,21600,5,15 16,1 1,
3,9999,2,0,0,9999,1,1141
3,9999,4,0,0,9999,1,1142
3,341,0,21600,5,15 16,1 1,
3,342,0,21600,5,63 64,1 1,
3,343,0,21600,5,31 32,1 1,
3,344,0,21600,5,39 40,1 1,
3,345,0,21600,5,7 8,1 1,
3,346,0,21600,5,15 16,1 1,
3,347,0,21600,5,23 24,1 1,
3,348,0,21600,5,63 64,1 1,
3,349,0,21600,5,39 40,1 1,
3,350,0,21600,5,7 8,1 1,
3,351,0,21600,5,15 16,1 1,
3,352,0,21600,5,23 24,1 1,
3,353,0,21600,5,31 32,1 1,
3,354,0,21600,5,63 64,1 1,
3,355,0,21600,5,7 8,1 1,
3,356,0,21600,5,15 16,1 1,
3,357,0,21600,5,23 24,1 1,
3,358,0,21600,5,31 32,1 1,
3,359,0,21600,5,63 64,1 1,
3,360,0,21600,5,7 8,1 1,
3,361,0,21600,5,15 16,1 1,
3,362,0,21600,5,23 24,1 1,
3,363,0,21600,5,31 32,1 1,
3,364,0,21600,5,39 40,1 1,
3,365,0,21600,5,63 64,1 1,
3,366,0,21600,5,15 16,1 1,
3,367,0,21600,5,23 24,1 1,
3,368,0,21600,5,31 32,1 1,
4,9999,4,0,0,9999,1,1143
4,369,0,21600,2,25 33,1 1,
4,370,0,21600,3,26 34,1 1,
4,371,0,21600,3,63 64,1 1,
4,372,0,21600,2,2 10,1 1,
4,373,0,21600,3,1 17,1 1,
4,374,0,21600,3,1 9,1 1,
4,375,0,21600,2,2 10,1 1,
4,376,0,21600,2,1 17,1 1,
4,377,0,21600,3,63 64,1 1,
4,378,0,21600,3,25 33,1 1,
4,379,0,21600,4,63,1,
4,380,0,21600,5,64,1,
4,381,0,21600,4,63,1,
4,382,0,21600,4,63,1,
5,373,0,21600,5,7 8,1 1,
5,374,0,21600,5,15 16,1 1,
5,375,0,21600,5,23 24,1 1,
5,376,0,21600,5,31 32,1 1,
5,377,0,21600,5,39 40,1 1,
5,378,0,21600,5,63 64,1 1,
5,379,0,21600,5,59 60,1 1,
5,380,0,21600,5,61 62,1 1,
5,381,0,21600,5,7 8,1 1,
5,382,0,21600,5,15 16,1 1,
5,383,0,21600,5,23 24,1 1,
5,384,0,21600,5,63 64,1 1,
5,385,0,21600,5,39 40,1 1,
5,386,0,21600,5,54 55,1 1,
5,387,0,21600,5,59 60,1 1,
5,388,0,21600,5,61 62,1 1,
5,389,0,21600,5,63,1,
5,390,0,21600,5,63,1,
6,9999,4,0,0,9999,1,1167
6,391,0,21600,5,15 16,1 1,
6,392,0,21600,6,23 24,1 1,
6,393,0,21600,6,31 32,1 1,
6,394,0,21600,7,39 40,1 1,
6,395,0,21600,5,54 55,1 1,
6,396,0,21600,6,63 64,1 1,
6,397,0,21600,6,61 62,1 1,
6,398,0,21600,7,7 8,1 1,
6,399,0,21600,5,15 16,1 1,
6,400,0,21600,6,23 24,1 1,
6,401,0,21600,6,31 32,1 1,
6,402,0,21600,7,63 64,1 1,
6,403,0,21600,5,54 55,1 1,
6,404,0,21600,6,59 60,1 1,
6,405,0,21600,6,61 62,1 1,
6,406,0,21600,7,7 8,1 1,
6,407,0,21600,5,15 16,1 1,
6,408,0,21600,6,63 64,1 1,
6,409,0,21600,6,31 32,1 1,
6,410,0,21600,7,39 40,1 1,
6,411,0,21600,5,54 55,1 1,
6,412,0,21600,6,59 60,1 1,
6,413,0,21600,6,61 62,1 1,
6,414,0,21600,7,63 64,1 1,
6,415,0,21600,5,15 16,1 1,
6,416,0,21600,6,23 24,1 1,
6,417,0,21600,6,31 32,1 1,
6,418,0,21600,7,39 40,1 1,
7,407,0,21600,5,63 64,1 1,
7,408,0,21600,6,31 32,1 1,
7,409,0,21600,6,39 40,1 1,
7,410,0,21600,7,54 55,1 1,
7,411,0,21600,5,59 60,1 1,
7,412,0,21600,6,61 62,1 1,
7,413,0,21600,6,63 64,1 1,
7,414,0,21600,7,15 16,1 1,
7,415,0,21600,5,23 24,1 1,
7,416,0,21600,6,31 32,1 1,
7,417,0,21600,6,39 40,1 1,
7,418,0,21600,7,23 24,1 1,
7,419,0,21600,5,63 64,1 1,
7,420,0,21600,6,39 40,1 1,
7,421,0,21600,6,54 55,1 1,
7,422,0,21600,7,59 60,1 1,
7,423,0,21600,5,61 62,1 1,
7,424,0,21600,6,7 8,1 1,
7,425,0,21600,6,63 64,1 1,
7,426,0,21600,7,23 24,1 1,
7,427,0,21600,5,31 32,1 1,
7,428,0,21600,6,39 40,1 1,
7,9999,10,0,0,9999,1,1168
8,419,0,21600,6,23 24,1 1,
8,420,0,21600,7,31 32,1 1,
8,421,0,21600,5,63 64,1 1,
8,422,0,21600,6,54 55,1 1,
8,423,0,21600,6,59 60,1 1,
8,424,0,21600,7,61 62,1 1,
8,425,0,21600,5,7 8,1 1,
8,426,0,21600,6,15 16,1 1,
8,427,0,21600,6,63 64,1 1,
8,428,0,21600,7,31 32,1 1,
9,9999,6,0,0,9999,1,1145
9,9999,9,0,0,9999,1,1146
9,429,0,21600,5,39 40,1 1,
9,430,0,21600,6,23 24,1 1,
9,431,0,21600,6,31 32,1 1,
9,432,0,21600,7,39 40,1 1,
9,433,0,21600,5,63 64,1 1,
9,434,0,21600,6,59 60,1 1,
9,435,0,21600,6,61 62,1 1,
9,436,0,21600,7,7 8,1 1,
9,437,0,21600,5,15 16,1 1,
9,438,0,21600,6,23 24,1 1,
9,439,0,21600,6,63 64,1 1,
9,440,0,21600,7,39 40,1 1,
9,441,0,21600,5,23 24,1 1,
9,442,0,21600,6,31 32,1 1,
9,443,0,21600,6,39 40,1 1,
9,444,0,21600,7,54 55,1 1,
9,445,0,21600,5,63 64,1 1,
9,446,0,21600,6,61 62,1 1,
9,447,0,21600,6,7 8,1 1,
9,448,0,21600,7,15 16,1 1,
9,449,0,21600,5,23 24,1 1,
9,450,0,21600,6,31 32,1 1,
9,451,0,21600,6,63 64,1 1,
9,452,0,21600,7,23 24,1 1,
9,453,0,21600,5,31 32,1 1,
9,454,0,21600,6,39 40,1 1,
9,455,0,21600,6,54 55,1 1,
9,456,0,21600,7,59 60,1 1,
10,9999,6,0,0,9999,1,1147
10,457,0,21600,5,63 64,1 1,
10,458,0,21600,6,15 16,1 1,
10,459,0,21600,6,23 24,1 1,
10,460,0,21600,7,31 32,1 1,
10,461,0,21600,5,39 40,1 1,
10,462,0,21600,6,23 24,1 1,
10,463,0,21600,6,63 64,1 1,
10,464,0,21600,7,39 40,1 1,
10,465,0,21600,5,54 55,1 1,
10,466,0,21600,6,59 60,1 1,
10,467,0,21600,6,7 8,1 1,
10,468,0,21600,7,15 16,1 1,
10,469,0,21600,5,63 64,1 1,
10,470,0,21600,6,31 32,1 1,
10,471,0,21600,6,39 40,1 1,
10,472,0,21600,7,23 24,1 1,
10,473,0,21600,5,31 32,1 1,
10,474,0,21600,6,39 40,1 1,
10,475,0,21600,6,63 64,1 1,
10,476,0,21600,7,59 60,1 1,
10,477,0,21600,5,7 8,1 1,
10,478,0,21600,6,15 16,1 1,
10,479,0,21600,6,23 24,1 1,
10,480,0,21600,7,31 32,1 1,
11,9999,9,0,0,9999,1,1148
11,9999,11,0,0,9999,1,1149
11,461,0,21600,5,63 64,1 1,
11,462,0,21600,6,23 24,1 1,
11,463,0,21600,6,31 32,1 1,
11,464,0,21600,7,39 40,1 1,
11,465,0,21600,5,54 55,1 1,
11,466,0,21600,6,59 60,1 1,
11,467,0,21600,6,63 64,1 1,
11,468,0,21600,7,15 16,1 1,
11,469,0,21600,5,23 24,1 1,
11,470,0,21600,6,31 32,1 1,
11,471,0,21600,6,39 40,1 1,
11,472,0,21600,7,23 24,1 1,
11,473,0,21600,5,63 64,1 1,
11,474,0,21600,6,39 40,1 1,
11,475,0,21600,6,54 55,1 1,
11,476,0,21600,7,59 60,1 1,
11,477,0,21600,5,7 8,1 1,
11,478,0,21600,6,15 16,1 1,
11,479,0,21600,6,63 64,1 1,
11,480,0,21600,7,31 32,1 1,
12,501,0,21600,5,39 40,1 1,
12,502,0,21600,6,23 24,1 1,
12,503,0,21600,6,31 32,1 1,
12,504,0,21600,7,39 40,1 1,
12,505,0,21600,5,63 64,1 1,
12,506,0,21600,6,59 60,1 1,
12,507,0,21600,6,7 8,1 1,
12,508,0,21600,7,15 16,1 1,
12,509,0,21600,5,23 24,1 1,
12,510,0,21600,6,31 32,1 1,
12,511,0,21600,6,63 64,1 1,
12,512,0,21600,7,23 24,1 1,
12,513,0,21600,5,31 32,1 1,
12,514,0,21600,6,39 40,1 1,
12,515,0,21600,6,54 55,1 1,
12,516,0,21600,7,59 60,1 1,
100,9999,14,0,0,9999,1,1151
100,9999,16,0,0,9999,1,1152
100,9999,18,0,0,9999,1,1153
100,9999,20,0,0,9999,1,1154
100,9999,22,0,0,9999,1,1155
100,9999,24,0,0,9999,1,1156
100,501,20,21600,10,63 64,1 1,
100,502,20,21600,11,23 24,1 1,
100,503,20,21600,12,21 22,1 1,
100,504,20,21600,10,31 32,1 1,
100,505,20,21600,11,54 55,1 1,
100,506,60,21600,12,59 60,1 1,
100,507,60,21600,10,63 64,1 1,
100,508,60,21600,11,15 16,1 1,
100,509,60,21600,12,23 24,1 1,
100,510,60,21600,22,41 42,1 1,
100,511,120,21600,11,59 50,1 1,
100,512,120,21600,12,23 24,1 1,
100,513,120,21600,10,63 64,1 1,
100,514,120,21600,11,59 60,1 1,
100,515,120,21600,12,54 55,1 1,
100,516,120,21600,22,59 60,1 1,
100,1000,13.5,0,0,32300,1,
