temp,id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
충격파임,1000,0,50,6,2.5,zbs_attack_shockwave,2,160,0,3,9,3,0,10,80,100,5,-1,250,250,0
전방 공격임,1000,1,60,3,1.2,zbs_attack_justiceSwing,0.5,135,90,3,8,5,0,15,80,100,4,-1,500,300,0
러쉬,1000,2,40,6,2.5,zbs_attack_mahadash,0.88,75,0,0,0,0,6,20,80,100,0,-1,800,400,1000
충격파임,1000,0,50,6,2.5,zbs_attack_shockwave,2,225,0,3,10,3,0,10,60,79,5,-1,250,250,0
전방 공격임,1000,1,60,3,1.2,zbs_attack_justiceSwing,0.5,200,90,3,7,5,0,15,60,79,4,-1,500,300,0
러쉬,1000,2,40,6,2.5,zbs_attack_mahadash,0.88,155,0,0,0,0,6,20,60,79,0,-1,800,400,1100
충격파임,1000,0,50,6,2.5,zbs_attack_shockwave,2,325,0,3,10,3,0,10,40,59,5,-1,250,250,0
전방 공격임,1000,1,60,3,1.2,zbs_attack_justiceSwing,0.5,300,90,3,7,5,0,15,40,59,4,-1,500,300,0
러쉬,1000,2,40,6,2.5,zbs_attack_mahadash,0.88,255,0,0,0,0,6,20,40,59,0,-1,800,400,1200
충격파임,1000,0,50,3,2.5,zbs_attack_shockwave,2,425,0,3,10,3,0,10,20,39,5,-1,250,250,0
전방 공격임,1000,1,50,3,1.2,zbs_attack_justiceSwing,0.5,400,90,3,7,5,0,15,20,39,4,-1,500,300,0
러쉬,1000,2,40,4,2.5,zbs_attack_mahadash,0.88,355,0,0,0,0,6,20,20,39,0,-1,800,400,1300
충격파임,1000,0,40,6,2.5,zbs_attack_shockwave,2,525,0,3,12,3,0,10,0,19,5,-1,250,250,0
전방 공격임,1000,1,50,3,1.2,zbs_attack_justiceSwing,0.5,500,90,3,7,5,0,15,0,19,4,-1,500,300,0
러쉬,1000,2,50,3,2.5,zbs_attack_mahadash,0.88,425,0,0,0,0,6,20,0,19,0,-1,800,400,1400
,,,,,,,, ,,,,,,,,,,,,,
