waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
1,9999,0,0,0,9999,1,34
1,9999,2,0,0,9999,1,35
1,9999,6,0,0,9999,1,36
1,9999,10,0,0,9999,1,37
1,9999,16,0,0,9999,1,34
1,9999,18,0,0,9999,1,38
1,9999,22,0,0,9999,1,39
1,9999,30,0,0,9999,1,34
1,9999,32,0,0,9999,1,40
1,9999,36,0,0,9999,1,41
1,9999,60,0,0,9999,1,45
1,9999,90,0,0,9999,1,46
1,200,30,0,0,200,1,
1,100,120,30000,6,3,1,
1,101,123,30000,6,14,1,
1,102,126,30000,6,15,1,
1,103,129,30000,6,16,1,
1,104,130,30000,6,3,1,
1,105,132,30000,6,3,1,
1,106,135,30000,6,14,1,
1,107,138,30000,6,15,1,
1,108,141,30000,6,16,1,
1,110,144,30000,6,3,1,
1,109,400,30000,180,99,1,
1,200,400,30000,180,99,1,
1,100,603,30000,4,9,1,
1,101,603,30000,4,9,1,
1,102,603,30000,4,9,1,
1,103,603,30000,4,11,1,
1,104,603,30000,4,11,1,
1,105,603,30000,4,11,1,
1,106,603,30000,4,12,1,
1,107,603,30000,4,12,1,
1,108,603,30000,4,12,1,
1,110,603,30000,8,19,1,
2,9999,0,0,0,9999,1,28
2,1,10,30000,8,1,1,
2,2,10.6,30000,8,1,1,
2,3,11.3,30000,8,2,1,
2,4,11.6,30000,8,2,1,
2,5,12.1,30000,8,3,1,
2,6,12.9,30000,8,3,1,
2,7,13,30000,8,1,1,
2,8,14.4,30000,8,2,1,
2,9,15.1,30000,8,3,1,
2,10,15.8,30000,8,1,1,
4,9999,8,0,0,9999,1,28
4,11,0,30000,6,1,1,
4,12,0.3,30000,6,2,1,
4,13,0.7,30000,6,3,1,
4,14,1,30000,6,1,1,
4,15,1.5,30000,6,1,1,
4,16,2,30000,6,1,1,
4,17,2.1,30000,6,2,1,
4,18,2.7,30000,6,2,1,
4,19,3.5,30000,6,3,1,
4,20,4,30000,6,3,1,
6,9999,0,0,0,9999,1,32
6,21,0,3,3,9,1,
6,22,0,3,3,9,1,
6,23,0,3,3,9,1,
6,24,0,3,3,9,1,
6,25,0,3,3,10,1,
6,26,0,3,3,10,1,
6,27,0,3,3,11,1,
6,28,0,3,3,12,1,
6,29,0,3,3,13,1,
6,30,0,3,3,13,1,
7,9999,0,0,0,9999,1,32
7,31,0,120,15,1,1,
7,32,0,120,15,1,1,
7,33,0,120,15,1,1,
7,34,0,120,15,1,1,
7,35,0,120,15,1,1,
7,36,0,120,15,1,1,
7,37,0,120,15,1,1,
7,38,0,120,15,1,1,
7,39,0,120,15,1,1,
8,9999,0,0,0,9999,1,29
8,40,0,30000,5,1,1,
8,41,0,30000,5,1,1,
8,42,0,30000,5,2,1,
8,43,0,30000,5,2,1,
8,44,0,30000,5,3,1,
8,45,0,30000,5,4,1,
9,9999,0,0,0,9999,1,32
9,46,0,3,3,9,1,
9,47,0,3,3,9,1,
9,48,0,3,3,9,1,
9,49,0,3,3,9,1,
9,50,0,3,3,10,1,
9,51,0,3,3,10,1,
9,52,0,3,3,11,1,
9,53,0,3,3,12,1,
9,54,0,3,3,13,1,
9,55,0,3,3,13,1,
10,9999,0,0,0,9999,1,32
10,56,0,3,3,9,1,
10,57,0,3,3,9,1,
10,58,0,3,3,9,1,
10,59,0,3,3,9,1,
10,60,0,3,3,10,1,
10,61,0,3,3,10,1,
10,62,0,3,3,11,1,
10,63,0,3,3,12,1,
10,64,0,3,3,13,1,
10,65,0,3,3,13,1,
11,9999,0,0,0,9999,1,29
11,66,0,30000,4,5,1,
11,67,0.3,30000,4,5,1,
11,68,0.7,30000,4,6,1,
11,69,1,30000,4,6,1,
11,70,1.5,30000,4,7,1,
11,71,2,30000,4,8,1,
12,9999,8,0,0,9999,1,31
12,72,0,3,3,9,1,
12,73,0,3,3,9,1,
12,74,0,3,3,9,1,
12,75,0,3,3,9,1,
12,76,0,3,3,10,1,
12,77,0,3,3,10,1,
12,78,0,3,3,11,1,
12,79,0,3,3,12,1,
12,80,0,3,3,13,1,
12,81,0,3,3,13,1,
13,9999,0,0,0,9999,1,32
13,82,0,3,3,9,1,
13,83,0,3,3,9,1,
13,84,0,3,3,9,1,
13,85,0,3,3,9,1,
13,86,0,3,3,10,1,
13,87,0,3,3,10,1,
13,88,0,3,3,11,1,
13,89,0,3,3,12,1,
13,90,0,3,3,13,1,
13,91,0,3,3,13,1,
14,9999,0,0,0,9999,1,33
14,92,0,30000,3,5,1,
14,93,0.3,30000,3,6,1,
14,94,0.7,30000,3,7,1,
14,95,1,30000,3,8,1,
14,96,1.5,30000,3,5,1,
14,97,2,30000,3,6,1,
14,98,2.1,30000,3,7,1,
14,99,2.7,30000,3,8,1,
14,9999,300,0,0,9999,1,48
14,92,301,30000,3,20,1,
14,93,301,30000,3,21,1,
14,94,301,30000,3,22,1,
14,95,301,30000,3,23,1,
14,96,301,30000,3,20,1,
14,97,301,30000,3,21,1,
14,98,301,30000,3,22,1,
14,99,301,30000,3,23,1,
16,9999,0,0,0,9999,1,42
17,9999,0,0,0,9999,1,43
18,9999,3,0,0,9999,1,28
19,9999,0,0,0,9999,1,29
20,9999,0,0,0,9999,1,30
21,9999,0,0,0,9999,1,47
