waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
1,1,12,21600,12,1 2,1 1,
1,2,12,21600,16,11 12,1 1,
1,3,12,21600,14,1 2,1 1,
1,4,12,21600,20,31 32,1 1,
1,5,12,21600,10,1 2 ,1 1,
1,6,12,21600,14,41 42,1 1,
1,7,12,21600,12,1 2,1 1,
1,8,12,21600,18,51 52,1 1,
1,9,12,21600,12,1 2,1 1,
1,10,12,21600,16,21 22,1 1,
1,11,12,21600,14,1 2,1 1,
1,12,12,21600,20,21 22,1 1,
1,13,12,21600,12,1 2,1 1,
1,14,12,21600,16,11 12,1 1,
1,15,12,21600,14,1 2,1 1,
1,16,12,21600,20,31 32,1 1,
1,17,12,21600,12,1 2 ,1 1,
1,18,12,21600,16,41 42,1 1,
1,19,12,21600,14,1 2,1 1,
1,20,12,21600,20,51 52,1 1,
1,1,12,0,0,32601,1,
