gametype,0,0:¶ó¿îµåÁ¦ 1:¼¶¸ê,,,,,,,,,
roundTime,180,,,,,,,,,,
wall,0,,,,,,,,,,
wall,0,,,,,,,,,,
RewardRound,0,,,,,,,,,,
round,waveTypes,GoalKillCount,damageAdd,attackRangeAdd,healthAdd,armorAdd,speedAdd,IntervalAdd,moneyAdd,BGM,PlayerSpawn
1,0 1,0,0,0,5,5,5,-4,10,2,0
2,0 3,0,3,0,10,10,8,-2,15,2,0
3,2 3 19 801,0,5,0,28,28,20,-0.1,20,2,0
4,2 3 9 802,0,7,0,30,30,40,-0.2,25,2,0
5,2 3 5 99 803,0,9,0,40,40,50,-0.3,80,2,0
6,2 4 5 805,0,10,5,40,40,80,-0.4,35,2,0
7,13 9 10 806,0,0,5,140,140,150,-0.5,40,2,0
8,2 4 5 20,0,15,5,65,65,40,-0.6,160,2,0
9,2 4 5 19 100 807 804,0,19,5,80,80,50,-0.7,45,2,0
10,2 4 6 7 23 27 808 809 804,0,40,5,280,250,60,0,50,3,0
11,2 4 6 7,0,20,10,80,80,70,-1,55,2,0
12,17 19 100 27 813 810 804,0,80,10,800,400,-30,-1.5,70,3,0
13,2 6 7 20 21,0,25,10,100,100,80,-1.1,80,2,0
14,13 5 8 4 10 11 23 100 101 804,0,10,10,200,100,170,-1.2,85,2,0
15,0 7 26 814,0,10,10,5,0,0,-4,300,2,0
16,6 8 4 19 100 804,0,40,15,120,120,120,-1.4,90,2,0
17,15 14 20 21 27 812 811,0,65,15,160,160,140,-1.5,115,3,0
18,13 6 8 14 19 20 21,0,40,15,120,120,120,-1.6,100,2,0
19,15 6 8 14 19 10 11 101 804,0,60,15,140,140,100,-1.7,105,2,0
20,15 6 8 14 19 20 21 100 101 27 28 808 811 812 804,0,70,15,300,300,90,5,120,3,0
21,13 6 14 19 100 101 804,0,50,20,120,120,100,-1.9,115,2,0
22,7 19 23 24 101 102 103 813 811 812 804,0,90,20,190,190,130,-3,140,3,0
23,13 6 8 14 19 11 23 24 101 804,0,90,20,130,130,120,-2,125,2,0
24,13 15 8 14 19 101 804,0,50,20,160,160,140,-2,130,2,0
25,0 7 26 814,0,10,20,10,0,20,-4,500,2,0
26,13 6 8 14 19 11 12 101 102 804,0,45,25,140,140,110,-2,135,2,0
27,16 19 24 25 101 102 103 813 811 812 804,0,30,25,160,160,180,0,140,3,0
28,13 15 8 14 19 11 12 101 102 804,0,50,25,150,150,120,-2,145,2,0
29,13 8 14 19 21 22 101 102 804,0,90,25,130,130,130,-3,150,2,0
30,13 15 8 14 11 12 101 102 103 27 28 29 808 811 812 804,0,100,25,120,120,150,-3,175,3,0
31,13 15 16 14 19 101 804,0,60,30,160,160,130,-2,160,2,0
32,12 22 25 101 102 817 811 812 804,0,90,30,200,200,110,3,185,3,0
33,13 15 16 15 21 22 101 102 804,0,65,30,170,170,140,-2,170,2,0
34,13 15 16 19 11 12 101 102 804,0,110,30,100,100,180,-2,175,2,0
35,0 5 7 26 22 23 814,0,20,30,20,0,30,-4,1000,2,0
36,13 15 16 14 19 11 12 101 102 804,0,70,35,180,180,150,-2,185,2,0
37,16 19 102 103 813 811 812 804,0,100,35,1500,1000,60,1,300,3,0
38,13 15 16 14 19 11 12 101 102 804,0,75,35,190,190,160,-2,195,2,0
39,13 15 16 14 19 101 103 804,0,90,35,160,160,150,-4,200,2,0
40,13 16 14 19 21 22 24 25 101 102 103 808 811 812 804,0,95,35,220,220,180,2,205,3,0
41,13 15 16 14 19 100 101 102 804,0,80,40,200,200,170,-2,210,2,0
42,13 15 16 14 19 21 22 101 102 103 804,0,85,40,210,210,180,-2,215,2,0
43,15 14 19 21 22 815 811 812,0,120,40,100,100,220,-2.5,250,3,0
44,13 15 16 14 11 12 101 102 103 804,0,100,40,110,110,220,-2,225,2,0
45,0 5 7 3 26 814,0,20,40,30,0,40,-4,1500,2,0
46,13 15 16 14 19 24 25 101 102 1033 804,0,90,45,220,220,190,-2,235,2,0
47,13 15 16 14 19 21 22 101 102 103 804,0,95,45,230,230,200,-2,240,2,0
48,13 15 16 14 19 11 12 101 102 103 804,0,100,45,240,240,210,-2,245,2,0
49,16 14 19 101 102 103 816 811 812 804,0,60,45,300,300,250,10,250,3,0
50,13 15 16 14 19 11 22 25 101 102 103 808 811 812 804,0,100,45,280,280,250,0,255,3,0
