waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
0,0,0,170,5,40,1,
0,1,0,170,5,40,1,
0,2,0,170,5,40,1,
0,3,0,170,5,40,1,
0,4,0,170,5,40,1,
0,5,0,170,5,40,1,
0,6,0,170,5,40,1,
0,7,0,170,5,40,1,
1,9999,0,0,0,9999,1,0
1,12,0,170,5,40,1,
1,13,0,170,5,40,1,
1,13,0,170,5,40,1,
1,14,0,170,5,40,1,
1,15,0,170,5,40,1,
1,16,0,170,5,40,1,
1,17,0,170,5,40,1,
1,18,0,170,5,40,1,
1,19,0,170,5,40,1,
1,20,0,170,5,40,1,
1,21,0,170,5,40,1,
1,22,0,170,5,40,1,
1,23,0,170,5,40,1,
1,24,0,170,5,40,1,
1,25,0,170,5,40,1,
1,26,0,170,5,40,1,
1,27,0,170,5,40,1,
1,28,0,170,5,40,1,
1,29,0,170,5,40,1,
1,30,0,170,5,40,1,
1,31,0,170,5,40,1,
1,32,0,170,5,40,1,
1,33,0,170,5,40,1,
1,34,0,170,5,40,1,
1,35,0,170,5,40,1,
2,0,0,170,5,40 1,2 1,
2,1,0,170,5,6 7,1 2,
2,2,0,170,5,6 7,1 2,
2,3,0,170,5,40 1,2 1,
2,4,0,170,5,14 15,2 1,
2,5,0,170,5,40 1,2 1,
2,6,0,170,5,40 1,2 1,
2,7,0,170,5,14 15,2 1,
3,8,0,170,5,12,1,
3,9,0,170,5,12,1,
3,10,0,170,5,12,1,
3,11,0,170,5,12,1,
3,12,0,170,5,20,1,
3,13,0,170,5,20,1,
3,14,0,170,5,20,1,
3,15,0,170,5,20,1,
4,8,0,170,5,12 13,2 1,
4,9,0,170,5,12 13,2 1,
4,10,0,170,5,12 13,2 1,
4,11,0,170,5,12 13,2 1,
4,12,0,170,5,20 21,1 2,
4,13,0,170,5,20 21,2 1,
4,14,0,170,5,20 21,2 1,
4,15,0,170,5,20 21,1 2,
5,22,0,170,5,2,1,
5,23,0,170,5,2,1,
5,24,0,170,5,2,1,
5,25,0,170,5,2,1,
5,26,0,170,5,8,1,
5,27,0,170,5,8,1,
5,28,0,170,5,8,1,
5,29,0,170,5,8,1,
6,22,0,170,5,2 3,2 1,
6,23,0,170,5,2 3,2 1,
6,24,0,170,5,2 3,2 1,
6,25,0,170,5,2 3,2 1,
6,26,0,170,5,8 9,1 2,
6,27,0,170,5,8 9,1 2,
6,28,0,170,5,16 17,2 1,
6,29,0,170,5,16 17,2 1,
7,30,0,170,5,4,1,
7,31,0,170,5,4,1,
7,32,0,170,5,4,1,
7,33,0,170,5,4,1,
7,34,0,170,5,10,1,
7,35,0,170,5,10,1,
7,36,0,170,5,10,1,
7,37,0,170,5,10,1,
8,30,0,170,5,4 5,2 1,
8,31,0,170,5,4 5,2 1,
8,32,0,170,5,4 5,2 1,
8,33,0,170,5,4 5,2 1,
8,34,0,170,5,10 11,1 2,
8,35,0,170,5,18 19,2 1,
8,36,0,170,5,18 19,2 1,
8,37,0,170,5,10 11,1 2,
9,0,0,170,18,24,1,
9,1,0,170,18,24,1,
9,2,0,170,18,24,1,
9,3,0,170,18,24,1,
10,4,0,170,18,24 25,2 1,
10,5,0,170,18,24 25,2 1,
10,6,0,170,18,24 25,2 1,
10,7,0,170,18,24 25,2 1,
11,8,0,170,18,24 25 26,3 2 1,
11,9,0,170,18,24 25 26,3 2 1,
11,10,0,170,18,24 25 26,3 2 1,
11,11,0,170,18,24 25 26,3 2 1,
12,12,0,170,18,25 26,2 1,
12,13,0,170,18,25 26,2 1,
12,14,0,170,18,25 26,2 1,
12,15,0,170,18,25 26,2 1,
13,0,0,170,5,7,1,
13,1,0,170,5,7,1,
13,2,0,170,5,7,1,
13,3,0,170,5,7,1,
13,4,0,170,5,15,1,
13,5,0,170,5,15,1,
13,6,0,170,5,15,1,
13,7,0,170,5,15,1,
14,8,0,170,5,13,1,
14,9,0,170,5,13,1,
14,10,0,170,5,13,1,
14,11,0,170,5,13,1,
14,12,0,170,5,21,1,
14,13,0,170,5,21,1,
14,14,0,170,5,21,1,
14,15,0,170,5,21,1,
15,22,0,170,5,9,1,
15,23,0,170,5,9,1,
15,24,0,170,5,9,1,
15,25,0,170,5,9,1,
15,26,0,170,5,17,1,
15,27,0,170,5,17,1,
15,28,0,170,5,17,1,
15,29,0,170,5,17,1,
16,30,0,170,5,11,1,
16,31,0,170,5,11,1,
16,32,0,170,5,11,1,
16,33,0,170,5,11,1,
16,34,0,170,5,19,1,
16,35,0,170,5,19,1,
16,36,0,170,5,19,1,
16,37,0,170,5,19,1,
17,16,0,170,5,28,1,
17,17,0,170,5,28,1,
17,18,0,170,5,28,1,
17,19,0,170,5,28,1,
17,20,0,170,5,28,1,
17,21,0,170,5,28,1,
17,22,0,170,5,28,1,
17,23,0,170,5,28,1,
18,60,30,120,40,24,1,
18,61,30,120,40,24,1,
18,62,30,120,40,24,1,
18,63,30,120,40,24,1,
19,30,0,170,5,23,1,
19,31,0,170,5,23,1,
19,32,0,170,5,23,1,
19,33,0,170,5,23,1,
19,34,0,170,5,23,1,
19,35,0,170,5,23,1,
19,36,0,170,5,23,1,
19,37,0,170,5,23,1,
20,16,0,170,18,29 30,2 1,
20,17,0,170,18,29 30,2 1,
20,18,0,170,18,29 30,2 1,
20,19,0,170,18,29 30,2 1,
21,20,0,170,18,29 30 31,3 2 1,
21,21,0,170,18,29 30 31,3 2 1,
21,22,0,170,18,29 30 31,3 2 1,
21,23,0,170,18,29 30 31,3 2 1,
22,24,0,170,18,31 32,2 1,
22,25,0,170,18,31 32,2 1,
22,26,0,170,18,31 32,2 1,
22,27,0,170,18,31 32,2 1,
23,28,0,170,18,33 34,2 1,
23,29,0,170,18,33 34,2 1,
23,30,0,170,18,33 34,2 1,
23,31,0,170,18,33 34,2 1,
24,32,0,170,18,33 34 35,3 2 1,
24,33,0,170,18,33 34 35,3 2 1,
24,34,0,170,18,33 34 35,3 2 1,
24,35,0,170,18,33 34 35,3 2 1,
25,36,0,170,18,34 35,2 1,
25,51,0,170,18,34 35,2 1,
25,52,0,170,18,34 35,2 1,
25,53,0,170,18,34 35,2 1,
26,0,0,170,5,22,1,
26,1,0,170,5,22,1,
26,2,0,170,5,22,1,
26,3,0,170,5,22,1,
26,4,0,170,5,22,1,
26,5,0,170,5,22,1,
26,6,0,170,5,22,1,
26,7,0,170,5,22,1,
27,64,75,75,0,37,1,
28,63,75,75,0,37,1,
29,64,55,130,75,37,1,
30,63,55,130,75,37,1,
99,100,60,120,60,99,1,
100,100,60,120,60,100,1,
101,101,60,120,60,101,1,
102,102,60,120,60,102,1,
103,103,60,120,60,103,1,
200,8,60,170,10,200,1,
801,9999,2,0,0,9999,1,1
802,9999,2,0,0,9999,1,2
803,9999,60,120,60,9999,1,3
804,9999,60,120,60,9999,1,4
805,9999,2,0,0,9999,1,5
806,9999,2,0,0,9999,1,6
807,9999,2,0,0,9999,1,7
808,9999,2,0,0,9999,1,8
809,9999,75,0,0,9999,1,9
810,9999,75,0,0,9999,1,10
811,9999,55,130,75,9999,1,10
812,9999,2,0,0,9999,1,11
813,9999,2,0,0,9999,1,12
814,9999,2,0,0,9999,1,13
815,9999,2,0,0,9999,1,14
816,9999,2,0,0,9999,1,15
817,9999,2,0,0,9999,1,16
818,9999,2,0,0,9999,1,17
