waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
1,1,0,21600,2,5 6,1 1,
1,2,0,21600,3,15 16,1 1,
1,3,0,21600,2,5 6,1 1,
1,4,0,21600,3,35 36,1 1,
1,5,0,21600,2,5 6,1 1,
1,6,0,21600,3,45 46,1 1,
1,7,0,21600,2,5 6,1 1,
1,8,0,21600,3,7 8,1 1,
1,9,0,21600,2,5 6,1 1,
1,10,0,21600,3,25 26,1 1,
1,11,0,21600,2,5 6,1 1,
1,12,0,21600,3,25 26,1 1,
1,13,0,21600,2,5 6,1 1,
1,14,0,21600,3,15 16,1 1,
1,15,0,21600,2,5 6,1 1,
1,16,0,21600,3,35 36,1 1,
1,17,0,21600,2,5 6,1 1,
1,18,0,21600,3,45 46,1 1,
1,19,0,21600,2,5 6,1 1,
1,20,0,21600,3,7 8,1 1,
1,21,0,21600,2,5 6,1 1,
1,22,0,21600,3,25 26,1 1,
1,23,0,21600,2,5 6,1 1,
1,24,0,21600,3,25 26,1 1,
1,25,0,21600,2,5 6,1 1,
1,26,0,21600,3,15 16,1 1,
1,27,0,21600,2,5 6,1 1,
1,28,0,21600,3,35 36,1 1,
1,29,0,21600,2,5 6,1 1,
1,30,0,21600,3,45 46,1 1,
1,31,0,21600,2,5 6,1 1,
1,32,0,21600,3,7 8,1 1,
1,33,0,21600,2,5 6,1 1,
1,34,0,21600,3,25 26,1 1,
1,35,0,21600,2,5 6,1 1,
1,36,0,21600,3,25 26,1 1,
1,37,0,21600,2,5 6,1 1,
1,38,0,21600,3,15 16,1 1,
2,39,0,21600,3,5 6,1 1,
2,40,0,21600,4,35 36,1 1,
2,41,0,21600,2,5 6,1 1,
2,42,0,21600,3,45 46,1 1,
2,43,0,21600,4,5 6,1 1,
2,44,0,21600,2,7 8,1 1,
2,45,0,21600,3,5 6,1 1,
2,46,0,21600,4,25 26,1 1,
2,47,0,21600,2,5 6,1 1,
2,48,0,21600,3,25 26,1 1,
2,60,0,21600,4,7 8,1 1,
2,61,0,21600,2,17 18,1 1,
2,62,0,21600,3,5 6,1 1,
2,63,0,21600,4,37 38,1 1,
2,64,0,21600,2,5 6,1 1,
2,65,0,21600,3,45 46,1 1,
2,66,0,21600,4,5 6,1 1,
2,67,0,21600,2,37 38,1 1,
2,68,0,21600,3,37 38,1 1,
2,69,0,21600,4,7 8,1 1,
2,70,0,21600,3,17 18,1 1,
2,71,0,21600,4,7 8,1 1,
2,72,0,21600,2,37 38,1 1,
2,73,0,21600,3,7 8,1 1,
2,74,0,21600,4,47 48,1 1,
2,75,0,21600,2,7 8,1 1,
3,80,0,21600,3,7 8,1 1,
3,81,0,21600,3,7 8,1 1,
3,82,0,21600,2,27 28,1 1,
3,83,0,21600,3,7 8,1 1,
3,84,0,21600,2,27 28,1 1,
3,85,0,21600,3,7 8,1 1,
3,86,0,21600,2,17 18,1 1,
3,87,0,21600,3,7 8,1 1,
3,88,0,21600,2,37 38,1 1,
3,89,0,21600,3,7 8,1 1,
3,90,0,21600,2,47 48,1 1,
3,91,0,21600,3,7 8,1 1,
3,92,0,21600,2,37 38,1 1,
3,93,0,21600,3,7 8,1 1,
3,94,0,21600,2,27 28,1 1,
3,95,0,21600,3,7 8,1 1,
3,96,0,21600,2,17 18,1 1,
3,97,0,21600,3,7 8,1 1,
3,98,0,21600,2,37 38,1 1,
3,99,0,21600,3,7 8,1 1,
3,100,15,20,99,500,1,
3,101,25,40,99,500,1,
3,102,30,40,99,500,1,
