 ,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem,exp
1,zombi_host,4,60,3,400,100,340,250,0,0,255 255 255,0,101,0,0,1,205
2,zombi_origin,10,60,3,450,140,340,300,0,1,255 255 255,0,101,0,0,1,240
3,zombi_host,15,70,2,600,180,360,350,0,0,255 255 255,0,101,0,0,1,275
4,zombi_origin,25,70,2,650,220,360,450,0,1,255 255 255,0,101,0,0,1,345
5,zombi_host,30,75,2,800,260,380,650,0,0,255 255 255,0,101,0,0,1,485
6,zombi_origin,35,75,2,850,300,380,800,0,1,255 255 255,0,101,0,0,1,590
7,zombi_host,35,75,2,1100,340,400,1000,0,0,255 255 255,0,101,0,0,1,730
8,zombi_origin,40,75,2,1200,380,400,1200,0,1,255 255 255,0,101,0,0,1,870
11,speed_zombi_host,5,60,2,60,30,400,250,0,0,255 255 255,0,110,0,0,1,205
12,speed_zombi_origin,13,70,2,80,40,400,325,0,2,255 255 255,0,111,0,0,1,258
13,speed_zombi_host,16,80,2,100,100,500,425,0,0,255 255 255,0,110,0,0,1,328
14,speed_zombi_origin,22,80,2,160,120,500,500,0,2,255 255 255,0,111,0,0,1,380
15,speed_zombi_host,26,85,2,250,200,600,650,0,0,255 255 255,0,110,0,0,1,485
16,speed_zombi_origin,30,85,2,300,250,600,800,0,2,255 255 255,0,111,0,0,1,590
17,speed_zombi_origin,35,85,2,340,250,650,1100,0,2,255 255 255,0,111,0,0,1,800
18,speed_zombi_origin,40,85,2,400,250,650,1300,0,2,255 255 255,0,111,0,0,1,940
21,heavy_zombi_host,10,40,4,2000,1000,200,1000,0,0,255 255 255,0,121,0,0,1,415
22,heavy_zombi_origin,15,50,4,2000,1100,220,1100,0,3,255 255 255,0,121,0,0,1,485
23,heavy_zombi_host,20,50,4,2500,1200,220,1200,0,0,255 255 255,0,121,0,0,1,555
24,heavy_zombi_origin,25,60,4,2900,1400,250,1300,0,3,255 255 255,0,121,0,0,1,625
25,heavy_zombi_host,30,60,3,3200,1600,250,1500,0,0,255 255 255,0,121,0,0,1,765
26,heavy_zombi_origin,35,70,3,4000,1900,260,1800,0,3,255 255 255,0,121,0,0,1,870
27,heavy_zombi_origin,40,70,3,5100,2400,260,2000,0,3,255 255 255,0,121,0,0,1,1080
28,heavy_zombi_origin,42,70,3,6400,2600,260,2500,0,3,255 255 255,0,121,0,0,1,1185
31,pc_zombi_host,8,60,3,300,160,360,300,0,0,255 255 255,0,130,0,0,1,240
32,pc_zombi_origin,12,65,3,330,180,360,350,0,0,255 255 255,0,130,0,0,1,275
33,pc_zombi_host,20,70,3,450,200,360,375,0,0,255 255 255,0,130,0,0,1,293
34,pc_zombi_origin,30,75,3,470,220,360,450,0,0,255 255 255,0,130,0,0,1,345
35,pc_zombi_host,35,75,2,640,240,380,650,0,0,255 255 255,0,130,0,0,1,485
36,pc_zombi_origin,40,80,2,650,260,380,900,0,0,255 255 255,0,130,0,0,1,660
37,pc_zombi_origin,40,80,2,750,280,380,1000,0,0,255 255 255,0,130,0,0,1,730
38,pc_zombi_origin,40,80,2,790,300,380,1200,0,0,255 255 255,0,130,0,0,1,870
41,heal_zombi_origin,10,60,3,400,160,320,475,0,0,255 255 255,0,141,0,0,1,363
42,heal_zombi_host,15,70,3,500,200,320,550,0,0,255 255 255,0,141,0,0,1,415
43,heal_zombi_origin,20,70,3,600,200,320,625,0,0,255 255 255,0,141,0,0,1,468
44,heal_zombi_host,25,70,3,700,200,320,700,0,5,255 255 255,0,141,0,0,1,520
45,heal_zombi_origin,30,80,3,800,300,320,800,0,0,255 255 255,0,141,0,0,1,590
46,heal_zombi_host,30,80,3,900,400,320,1000,0,5,255 255 255,0,141,0,0,1,730
47,heal_zombi_host,35,80,3,1000,400,320,1200,0,5,255 255 255,0,141,0,0,1,870
48,heal_zombi_host,35,80,3,1100,400,320,1400,0,5,255 255 255,0,141,0,0,1,1010
51,resident_zombi_origin,15,45,3,600,110,520,550,0,10,255 255 255,0,145,0,0,1,415
52,resident_zombi_host,20,45,3,900,110,520,650,0,10,255 255 255,0,145,0,0,1,485
53,resident_zombi_origin,33,45,3,1100,130,540,800,0,10,255 255 255,0,145,0,0,1,590
54,resident_zombi_host,38,50,3,1200,130,540,1050,0,10,255 255 255,0,145,0,0,1,765
55,resident_zombi_origin,43,50,2,1250,140,540,1250,0,10,255 255 255,0,145,0,0,1,905
61,boomer_zombi_host,35,50,4,2000,200,180,500,0,11,255 255 255,0,146,0,0,1,380
62,boomer_zombi_origin,40,60,4,2500,300,180,600,0,11,255 255 255,0,146,0,0,1,450
63,boomer_zombi_host,45,60,4,3000,300,180,750,0,11,255 255 255,0,146,0,0,1,555
64,boomer_zombi_origin,50,70,3,3500,400,180,850,0,11,255 255 255,0,146,0,0,1,625
65,boomer_zombi_host,55,70,3,4000,400,180,1000,0,11,255 255 255,0,146,0,0,1,730
100,zombi_origin,10,80,2,500,100,300,450,0,1,255 255 255,0,101,0,0,1,345
111,speed_zombi_origin,15,90,1,360,160,440,500,0,0,255 255 255,0,111,0,0,1,380
121,heavy_zombi_origin,10,70,3,1200,200,220,800,0,0,255 255 255,0,121,0,0,1,590
131,pc_zombi_origin,10,75,2,400,200,500,450,0,0,255 255 255,0,130,0,0,1,345
141,heal_zombi_host,10,70,3,440,200,340,550,0,0,255 255 255,0,141,0,0,1,415
201,zombi_host,14,1500,5,160,40,180,200,0,6,80 228 91,0,102,0,0,1,170
300,zombiedog,45,75,2,160,160,640,350,0,12,255 255 255,0,101,0,0,1,275
301,zombiedog,15,55,2,190,160,640,375,0,12,255 255 255,0,144,0,0,1,293
302,zombiedog,20,55,2,210,160,640,400,0,12,255 255 255,0,144,0,0,1,310
303,zombiedog,25,55,2,230,160,640,425,0,12,255 255 255,0,144,0,0,1,328
304,zombiedog,30,55,2,250,160,640,550,0,12,255 255 255,0,144,0,0,1,415
305,zombiedog,75,60,1,600,300,660,1500,0,12,200 0 0,0,144,0,0,1,1250
306,zombiedog,100,75,2,650,500,660,2000,0,12,255 0 0,0,144,0,0,1,1500
400,zombieclimber,125,100,2,2000,500,360,1500,0,0,255 255 255,0,147,0,0,1,1750
401,zombieclimber,150,100,2,2500,600,400,2000,0,1,255 255 255,0,147,0,0,1,2000
500,deimos_zombi_host,150,70,3,15000,12500,250,8000,1,8,255 255 255,0,181,0,0,1,5600
501,deimos_zombi_origin,200,80,3,20000,15000,230,15000,1,8,255 255 255,0,182,0,0,1,10500
