waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
1,1,0,21600,7,1 2,1 1,
1,2,0,21600,8,11 12,1 1,
1,3,0,21600,9,21 22,1 1,
1,4,0,21600,7,1 2,1 1,
1,5,0,21600,8,31 32,1 1,
1,6,0,21600,9,1 2,1 1,
1,7,0,21600,7,11 12,1 1,
1,8,0,21600,8,31 32,1 1,
1,9,0,21600,4,3 4,1 1,
1,10,0,21600,11,13 14,1 1,
1,11,0,21600,10,23 24,1 1,
1,12,0,21600,12,31 32,1 1,
1,13,0,21600,10,23 24,1 1,
1,14,0,21600,4,3 4,1 1,
1,15,0,21600,10,41 42,1 1,
1,16,0,21600,7,23 24,1 1,
1,17,0,21600,10,31 32,1 1,
1,18,0,21600,11,39 40,1 1,
1,19,0,21600,7,5 6,1 1,
1,20,0,21600,11,15 16,1 1,
1,21,0,21600,10,23 24,1 1,
1,22,0,21600,13,31 32,1 1,
1,23,0,21600,10,41 42,1 1,
1,24,0,21600,7,5 6,1 1,
1,25,0,21600,11,15 16,1 1,
1,26,0,21600,10,23 24,1 1,
1,27,0,21600,13,31 32,1 1,
1,28,0,21600,10,41 42,1 1,
1,29,0,21600,4,3 4,1 1,
2,9999,3,0,0,9999,1,1337
2,9999,6,0,0,9999,1,1338
2,9999,9,0,0,9999,1,1339
2,9999,12,0,0,9999,1,1340
2,9999,15,0,0,9999,1,1341
2,9999,18,0,0,9999,1,1342
2,30,17,21600,4,3 4,1 1,
2,31,17,21600,7,13 14,1 1,
2,32,17,21600,8,23 24,1 1,
2,33,17,21600,9,31 32,1 1,
2,34,17,21600,7,23 24,1 1,
2,35,17,21600,4,3 4,1 1,
2,36,17,21600,7,41 42,1 1,
2,37,17,21600,7,23 24,1 1,
2,38,17,21600,6,31 32,1 1,
2,39,17,21600,7,39 40,1 1,
2,390,17,21600,7,5 6,1 1,
2,391,17,21600,6,15 16,1 1,
2,392,17,21600,7,23 24,1 1,
2,393,17,21600,8,31 32,1 1,
2,394,17,21600,6,41 42,1 1,
2,395,17,21600,7,5 6,1 1,
2,396,17,21600,8,15 16,1 1,
2,397,17,21600,7,23 24,1 1,
2,398,17,21600,6,31 32,1 1,
2,399,17,21600,8,39 40,1 1,
2,400,17,21600,6,5 6,1 1,
2,401,17,21600,4,3 4,1 1,
2,402,17,21600,8,13 14,1 1,
2,403,17,21600,7,23 24,1 1,
2,404,17,21600,6,31 32,1 1,
2,405,17,21600,8,23 24,1 1,
2,406,17,21600,8,31 32,1 1,
3,40,0,21600,4,3 4,1 1,
3,41,0,21600,5,13 14,1 1,
3,42,0,21600,6,41 42,1 1,
3,43,0,21600,7,23 24,1 1,
3,44,0,21600,4,31 32,1 1,
3,45,0,21600,5,39 40,1 1,
3,46,0,21600,6,5 6,1 1,
3,47,0,21600,7,39 40,1 1,
3,48,0,21600,7,5 6,1 1,
3,49,0,21600,4,1 2,1 1,
3,50,0,21600,3,1 2,1 1,
3,51,0,21600,6,11 12,1 1,
3,52,0,21600,5,31 32,1 1,
3,53,0,21600,4,3 4,1 1,
3,54,0,21600,4,13 14,1 1,
3,55,0,21600,5,41 42,1 1,
3,56,0,21600,6,23 24,1 1,
3,57,0,21600,7,31 32,1 1,
3,58,0,21600,3,39 40,1 1,
3,59,0,21600,4,5 6,1 1,
4,60,0,21600,8,7 8,1 1,
4,61,0,21600,9,17 18,1 1,
4,62,0,21600,7,27 28,1 1,
4,63,0,21600,8,37 38,1 1,
4,64,0,21600,9,47 48,1 1,
4,65,0,21600,8,54 55,1 1,
4,66,0,21600,7,27 28,1 1,
4,67,0,21600,12,304 305,1 1,
4,79,0,21600,2,304 305,1 1,
5,68,0,21600,8,31 32,1 1,
5,69,0,21600,9,1 2,1 1,
5,70,0,21600,7,11 12,1 1,
5,71,0,21600,8,31 32,1 1,
5,72,0,21600,4,3 4,1 1,
5,73,0,21600,10,7 8,1 1,
5,74,0,21600,12,17 18,1 1,
5,75,0,21600,10,27 28,1 1,
5,76,0,21600,12,37 38,1 1,
5,77,0,21600,13,47 48,1 1,
5,78,0,21600,14,54 55,1 1,
5,80,0,21600,10,17 18,1 1,
5,81,0,21600,12,304 305,1 1,
5,82,0,21600,13,7 8,1 1,
5,83,0,21600,14,17 18,1 1,
5,84,0,21600,10,27 28,1 1,
5,85,0,21600,10,7 8,1 1,
6,9999,0,0,0,9999,1,1347
6,9999,3,0,0,9999,1,1348
6,9999,6,0,0,9999,1,1349
6,9999,9,0,0,9999,1,1350
6,9999,12,0,0,9999,1,1351
6,9999,15,0,0,9999,1,1352
6,9999,18,0,0,9999,1,1353
6,90,0,21600,2,503 504,1 1,
6,91,0,21600,3,503 504,1 1,
6,92,0,21600,2,503 504,1 1,
6,93,0,21600,3,505 506,1 1,
6,94,0,21600,2,505 506,1 1,
6,95,0,21600,3,505 506,1 1,
6,96,0,21600,2,505 506,1 1,
6,97,0,21600,3,513 514,1 1,
6,98,0,21600,2,513 514,1 1,
6,99,0,21600,3,513 514,1 1,
6,100,0,21600,2,515 516,1 1,
6,101,0,21600,3,513 514,1 1,
6,102,0,21600,2,513 514,1 1,
6,103,0,21600,3,513 514,1 1,
6,104,0,21600,2,515 516,1 1,
6,105,0,21600,3,523 524,1 1,
6,106,0,21600,2,523 524,1 1,
6,107,0,21600,3,523 524,1 1,
6,108,0,21600,2,525 526,1 1,
6,109,0,21600,3,5303 5304,1 1,
6,110,0,21600,2,5303 5304 ,1 1,
6,111,0,21600,3,561 562,1 1,
6,112,0,21600,2,5305 5306,1 1,
6,113,0,21600,3,543 544,1 1,
6,114,0,21600,2,543 544,1 1,
6,115,0,21600,3,543 544,1 1,
6,116,0,21600,2,505 506,1 1,
6,117,0,21600,3,505 506,1 1,
6,118,0,21600,2,515 516,1 1,
6,119,0,21600,3,525 526,1 1,
6,120,0,21600,2,563 564,1 1,
