temp,id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
등장,1000,305,255,999999,1,zbs_idle,0,0,0,0,0,0,0,1000,99,100,10000,-1,0,0,0
총쏘기,1000,306,150,14,2,zbs_attack_gun_start,0.03,75,0,0,0,0,0,15,40,100,10000,-1,0,0,0
총쏘기(무빙),1000,307,180,24,2,zbs_walk_gun_start,0.03,45,0,0,0,0,5,1000,40,100,10000,-1,0,0,0
패트롤부머,1000,308,80,32,2,zbs_attack_fire_start,0.25,0,0,0,0,0,5,1000,40,100,10000,-1,0,0,100
레이저1,1000,309,250,5,3.3,zbs_attack_laser1,0,300,0,0,3,0,0,10,40,100,10000,-1,500,300,0
레이저2,1000,310,150,13,4.36,zbs_attack_laser2,0,50,0,0,2.98,0,0,50,40,100,10000,-1,500,300,0
폭주:총쏘기,1000,306,150,15,2,zbs_attack_gun_start,0.03,150,0,0,0,0,0,15,0,40,10000,-1,0,0,0
폭주:총쏘기(무빙),1000,307,200,5,2,zbs_walk_gun_start,0.03,90,0,0,0,0,5,1000,0,40,10000,-1,0,0,0
폭주:패트롤부머,1000,308,120,23,2,zbs_attack_fire_start,0.25,0,0,0,0,0,5,1000,0,40,10000,-1,0,0,100
폭주:레이저1,1000,309,250,4,3.3,zbs_attack_laser1,0,500,0,0,1.6,0,0,10,0,40,10000,-1,0,0,0
폭주:레이저2,1000,310,100,34,4.36,zbs_attack_laser2,0,200,0,0,2.98,0,0,50,0,40,10000,-1,0,0,0
등장,1001,311,255,999999,3.03,appear,0,0,0,0,3,0,0,1000,99,100,10000,-1,0,0,0
수영시작,1001,312,254,3.03,3.03,zbs_move_start,0,0,0,0,0,0,0,1000,0,100,10000,-1,0,0,600
수영끝,1001,313,254,5,2.23,zbs_move,0,0,0,0,0,0,0,1000,0,100,10000,-1,0,0,600
흡입,1001,314,150,23,1.96,zbs_suction_start,3,500,100,0,2.5,0,0,1000,0,100,10000,-1,0,0,180
미사일공격,1001,315,200,40,1.96,zbs_missile_start,3,500,0,0,5,0,0,1000,0,100,10000,-1,2.5,300,800
파동공격,1001,316,50,15,4,zbs_wave,2.8,0,0,10,20,0,0,1000,0,100,10000,-1,600,300,0
물대포,1001,317,200,25,1,zbs_wcannon_start,8,100,0,0.72,40,0,0,1000,0,100,10000,-1,600,300,0
팔공격,1001,318,200,4,2,zbs_hook,0.86,100,0,2.54,9,0,0,1000,0,100,10000,-1,600,300,0
내려찍기,1001,319,100,5,2,zbs_hit,0.9,600,10,10,18,0,0,1000,0,100,10000,-1,0,0,0
죽음,1001,320,0,999999,4.46,death,0,0,0,0,0,0,0,1000,0,100,10000,-1,0,0,0
