waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
1,1,3,120,3,600,1,
1,2,6,120,3,600,1,
1,3,9,120,3,600,1,
1,4,4,120,3,600,1,
1,5,7,120,3,600,1,
1,6,10,120,3,600,1,
1,7,3,120,3,600,1,
1,8,6,120,3,600,1,
1,9,9,120,3,600,1,
1,10,4,120,3,600,1,
1,11,7,120,3,600,1,
1,12,10,120,3,600,1,
2,13,0,21600,2,1 2,1 1,
2,14,0,21600,3,11 12,1 1,
2,15,0,21600,2,3 4,1 1,
2,16,0,21600,2,21 22,1 1,
2,17,0,21600,2,1 2 ,1 1,
2,18,0,21600,3,31 32,1 1,
2,19,0,21600,2,1 2,1 1,
2,20,0,21600,3,11 12,1 1,
2,21,0,21600,2,3 4,1 1,
2,22,0,21600,3,21 22,1 1,
2,23,0,21600,2,1 2 ,1 1,
2,24,0,21600,3,13 14,1 1,
2,25,0,21600,2,1 2,1 1,
2,26,0,21600,3,11 12,1 1,
2,27,0,21600,2,3 4,1 1,
2,28,0,21600,2,21 22,1 1,
2,29,0,21600,2,1 2 ,1 1,
2,30,0,21600,2,31 32,1 1,
2,31,0,21600,2,33 34,1 1,
3,40,7,21600,2,3 4,1 1,
3,41,7,21600,3,5 6,1 1,
3,42,7,21600,3,13 14,1 1,
3,43,7,21600,2,3 4,1 1,
3,44,7,21600,3,5 6,1 1,
3,45,7,21600,3,23 24,1 1,
3,46,7,21600,2,3 4,1 1,
3,47,7,21600,3,5 6,1 1,
3,48,7,21600,3,13 14,1 1,
4,49,0,21600,2,3 4,1 1,
4,50,0,21600,3,5 6,1 1,
4,51,0,21600,3,23 24,1 1,
4,52,0,21600,2,3 4,1 1,
4,53,0,21600,3,5 6,1 1,
4,54,0,21600,3,25 26,1 1,
4,55,0,21600,2,5 6,1 1,
4,56,0,21600,3,5 6,1 1,
4,57,0,21600,3,13 14,1 1,
4,58,0,21600,3,35 36,1 1,
4,60,0,0,0,500,1,
5,101,15,21600,4,600 601,1 1,
5,102,20,21600,4,600 601,1 1,
5,103,25,21600,4,602 603,1 1,
5,104,15,21600,4,600 601,1 1,
5,105,15,21600,4,600 601,1 1,
5,106,20,21600,4,600 601,1 1,
5,107,25,21600,4,604 605,1 1,
5,108,15,21600,4,600 601,1 1,
5,109,15,21600,4,600 601,1 1,
5,110,20,21600,4,602 603,1 1,
5,111,25,21600,4,600 601,1 1,
5,112,15,21600,4,600 601,1 1,
5,120,20,21600,4,600 601,1 1,
5,121,25,21600,4,604 605,1 1,
5,122,15,21600,4,600 601,1 1,
5,123,20,21600,4,600 601,1 1,
5,130,25,21600,4,602 603,1 1,
5,131,15,21600,4,600 601,1 1,
5,132,15,21600,4,600 601,1 1,
5,133,20,21600,4,600 601,1 1,
5,134,25,21600,4,604 605,1 1,
5,135,15,21600,4,600 601,1 1,
5,136,20,21600,4,600 601,1 1,
5,137,25,21600,4,600 601,1 1,
5,138,15,21600,4,600 601,1 1,
5,139,15,21600,4,604 605,1 1,
