 ,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem,exp
1,zombi_host,4,60,3,400,100,160,250,0,0,255 255 255,0,101,0,0,1,205
2,zombi_origin,10,60,3,450,140,160,300,0,1,255 255 255,0,101,0,0,1,240
3,zombi_host,15,70,2,600,180,240,350,0,0,255 255 255,0,101,0,0,1,275
4,zombi_origin,25,70,2,650,220,220,450,0,1,255 255 255,0,101,0,0,1,345
5,zombi_host,30,75,2,800,260,240,650,0,0,255 255 255,0,101,0,0,1,485
6,zombi_origin,35,75,2,850,300,240,800,0,1,255 255 255,0,101,0,0,1,590
7,zombi_host,35,75,2,1100,340,240,1000,0,0,255 255 255,0,101,0,0,1,730
8,zombi_origin,40,75,2,1200,380,240,1200,0,1,255 255 255,0,101,0,0,1,870
11,speed_zombi_host,5,60,2,100,30,250,250,0,0,255 255 255,0,110,0,0,1,205
12,speed_zombi_origin,13,70,2,120,40,250,325,0,2,255 255 255,0,111,0,0,1,258
13,speed_zombi_host,16,80,2,150,100,400,425,0,0,255 255 255,0,110,0,0,1,328
14,speed_zombi_origin,22,80,2,160,120,400,500,0,2,255 255 255,0,111,0,0,1,380
15,speed_zombi_host,26,85,2,250,200,400,650,0,0,255 255 255,0,110,0,0,1,485
16,speed_zombi_origin,30,85,2,300,250,440,800,0,2,255 255 255,0,111,0,0,1,590
17,speed_zombi_origin,35,85,2,340,250,440,1100,0,2,255 255 255,0,111,0,0,1,800
18,speed_zombi_origin,40,85,2,400,250,440,1300,0,2,255 255 255,0,111,0,0,1,940
21,heavy_zombi_host,10,40,4,2000,1000,120,1000,0,0,255 255 255,0,121,0,0,1,415
22,heavy_zombi_origin,15,50,4,2000,1100,120,1100,0,3,255 255 255,0,121,0,0,1,485
23,heavy_zombi_host,20,50,4,2500,1200,180,1200,0,0,255 255 255,0,121,0,0,1,555
24,heavy_zombi_origin,25,60,4,2900,1400,180,1300,0,3,255 255 255,0,121,0,0,1,625
