temp,id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
##포보스 충격파,1000,0,50,5,2.5,zbs_attack_shockwave,2,160,0,3,9,3,0,10,80,100,5,-1,250,250,0
##포보스 충격파,1000,0,50,5,2.5,zbs_attack_shockwave,2,160,0,3,9,3,0,10,80,100,5,-1,250,250,0
##포보스 전방 공격,1000,1,60,3,1.2,zbs_attack_justiceSwing,0.5,135,90,3,8,5,0,15,80,100,4,-1,500,300,0
##포보스 전방 공격,1000,1,60,3,1.2,zbs_attack_justiceSwing,0.5,135,90,3,8,5,0,15,80,100,4,-1,500,300,0
##포보스 러쉬,1000,2,40,5,2.5,zbs_attack_mahadash,0.88,75,0,0,0,0,6,20,80,100,0,-1,800,400,1000
##포보스 러쉬,1000,2,40,5,2.5,zbs_attack_mahadash,0.88,75,0,0,0,0,6,20,80,100,0,-1,800,400,1000
##포보스 충격파,1000,0,50,5,2.5,zbs_attack_shockwave,2,225,0,3,10,3,0,10,60,80,5,-1,250,250,0
##포보스 충격파,1000,0,50,5,2.5,zbs_attack_shockwave,2,225,0,3,10,3,0,10,60,80,5,-1,250,250,0
##포보스 전방 공격,1000,1,60,3,1.2,zbs_attack_justiceSwing,0.5,200,90,3,7,5,0,15,60,80,4,-1,500,300,0
##포보스 전방 공격,1000,1,60,3,1.2,zbs_attack_justiceSwing,0.5,200,90,3,7,5,0,15,60,80,4,-1,500,300,0
##포보스 러쉬,1000,2,40,5,2.5,zbs_attack_mahadash,0.88,155,0,0,0,0,6,20,60,80,0,-1,800,400,1100
##포보스 러쉬,1000,2,40,5,2.5,zbs_attack_mahadash,0.88,155,0,0,0,0,6,20,60,80,0,-1,800,400,1100
##포보스 충격파임,1000,0,50,5,2.5,zbs_attack_shockwave,2,325,0,3,10,3,0,10,40,60,5,-1,250,250,0
##포보스 충격파임,1000,0,50,5,2.5,zbs_attack_shockwave,2,325,0,3,10,3,0,10,40,60,5,-1,250,250,0
##포보스 전방 공격,1000,1,60,3,1.2,zbs_attack_justiceSwing,0.5,300,90,3,7,5,0,15,40,60,4,-1,500,300,0
##포보스 전방 공격,1000,1,60,3,1.2,zbs_attack_justiceSwing,0.5,300,90,3,7,5,0,15,40,60,4,-1,500,300,0
##포보스 러쉬,1000,2,40,5,2.5,zbs_attack_mahadash,0.88,255,0,0,0,0,6,20,40,60,0,-1,800,400,1200
##포보스 러쉬,1000,2,40,5,2.5,zbs_attack_mahadash,0.88,255,0,0,0,0,6,20,40,60,0,-1,800,400,1200
##포보스 충격파임,1000,0,50,3,2.5,zbs_attack_shockwave,2,425,0,3,10,3,0,10,20,40,5,-1,250,250,0
##포보스 충격파임,1000,0,50,3,2.5,zbs_attack_shockwave,2,425,0,3,10,3,0,10,20,40,5,-1,250,250,0
##포보스 전방 공격,1000,1,50,3,1.2,zbs_attack_justiceSwing,0.5,400,90,3,7,5,0,15,20,40,4,-1,500,300,0
##포보스 전방 공격,1000,1,50,3,1.2,zbs_attack_justiceSwing,0.5,400,90,3,7,5,0,15,20,40,4,-1,500,300,0
##포보스 러쉬,1000,2,40,4,2.5,zbs_attack_mahadash,0.88,355,0,0,0,0,6,20,20,40,0,-1,800,400,1300
##포보스 러쉬,1000,2,40,4,2.5,zbs_attack_mahadash,0.88,355,0,0,0,0,6,20,20,40,0,-1,800,400,1300
##포보스 충격파임,1000,0,40,5,2.5,zbs_attack_shockwave,2,525,0,3,12,3,0,10,0,20,5,-1,250,250,0
##포보스 충격파임,1000,0,40,5,2.5,zbs_attack_shockwave,2,525,0,3,12,3,0,10,0,20,5,-1,250,250,0
##포보스 전방 공격,1000,1,50,3,1.2,zbs_attack_justiceSwing,0.5,500,90,3,7,5,0,15,0,20,4,-1,500,300,0
##포보스 전방 공격,1000,1,50,3,1.2,zbs_attack_justiceSwing,0.5,500,90,3,7,5,0,15,0,20,4,-1,500,300,0
##포보스 러쉬,1000,2,50,3,2.5,zbs_attack_mahadash,0.88,425,0,0,0,0,6,20,0,20,0,-1,800,400,1400
##포보스 러쉬,1000,2,50,3,2.5,zbs_attack_mahadash,0.88,425,0,0,0,0,6,20,0,20,0,-1,800,400,1400
##오베론 휘두르기약100-75,30200,3,3,3,2.7,zbs_attack1,0.93,100,90,5,9,4,0,15,75,100,5,-1,400,250,0
##오베론 휘두르기약100-75,30200,3,3,3,2.7,zbs_attack1,0.93,100,90,5,9,4,0,15,75,100,5,-1,400,250,0
##오베론 휘두르기약75-50,30200,3,2,3,2.7,zbs_attack1,0.93,140,90,5,9,4,0,15,50,75,5,-1,500,250,0
##오베론 휘두르기약75-50,30200,3,2,3,2.7,zbs_attack1,0.93,140,90,5,9,4,0,15,50,75,5,-1,500,250,0
##오베론 휘두르기강50-25,30200,3,2,3,2.7,knife_attack1,0.66,240,120,5,11,4,0,15,25,50,5,-1,600,280,0
