id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem
1,zombi_origin,5,60,3,80,40,230,1000,0,1,255 255 255,0,101,0,0,1
2,speed_zombi_origin,15,50,4,70,30,250,1200,0,2,255 255 255,0,111,0,0,1
3,heavy_zombi_origin,10,60,4,180,180,210,1400,0,3,255 255 255,0,121,0,0,1
4,pc_zombi_origin,15,60,5,140,60,220,1600,0,0,255 255 255,0,131,0,0,1
5,deimos_zombi_origin,15,50,5,300,200,200,3000,1,8,255 255 255,0,181,0,0,1
6,heal_zombi_host,15,70,3,160,80,250,2000,0,0,255 255 255,0,141,0,0,1
42,zombiedog,15,55,2,20,10,300,300,0,12,255 255 255,0,144,0,0,1
111,resident_zombi_host,15,65,4,130,100,250,600,0,10,255 255 255,0,145,0,0,1
112,boomer_zombi_origin,50,60,4,50,0,250,800,0,11,255 255 255,0,146,0,0,1
100,zbs_bossS_jun03,30,50,1,250000,150000,230,10000,2,9,255 255 255,0,182,0,100,17
101,zbs_bossS_jun02,80,90,1,450000,300000,240,12000,2,3,255 255 255,0,150,0,100,18
30300,zbs_bossL_big03,1,300,2,600000,350000,220,32000,2,1001,255 255 255,0,170,2,100,19
30600,zbs_bossL_big05,1,300,2,700000,400000,250,32000,2,1002,255 255 255,0,171,2,100,20
30700,zbs_bossL_big06,1,300,2,1200000,550000,220,32000,2,1003,255 255 255,0,172,2,100,21
