x,y,z,pitch,yaw,roll,type,useCount,difficulty,model
-2497.000000,2407.000000,76.000000,0.000000,62.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
-2460.000000,2460.000000,64.000000,0.000000,-130.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
-2515.000000,2373.000000,64.000000,0.000000,140.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
-1720.000000,2444.000000,84.000000,0.000000,-30.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
-1629.000000,2387.000000,80.000000,0.000000,-38.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
-1684.000000,2414.000000,80.000000,0.000000,-142.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
2298.000000,1308.000000,110.000000,0.000000,180.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
2355.000000,1314.000000,98.000000,0.000000,-165.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
2412.000000,1310.000000,98.000000,0.000000,90.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
1680.000000,1308.000000,98.000000,0.000000,90.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
1783.000000,1312.000000,98.000000,0.000000,165.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
1726.000000,1306.000000,110.000000,0.000000,180.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
2789.000000,1860.000000,98.000000,0.000000,105.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
2791.000000,1917.000000,110.000000,0.000000,-90.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
2793.000000,1963.000000,98.000000,0.000000,-30.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
1440.000000,2710.000000,98.000000,0.000000,60.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
1486.000000,2708.000000,110.000000,0.000000,0.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
1547.000000,2714.000000,98.000000,0.000000,-135.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
-814.000000,-1847.000000,76.000000,0.000000,-90.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
-808.000000,-1792.000000,64.000000,0.000000,-90.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
-816.000000,-1735.000000,64.000000,0.000000,180.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
-816.000000,-2765.000000,64.000000,0.000000,180.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
-808.000000,-2710.000000,64.000000,0.000000,-90.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
-814.000000,-2653.000000,76.000000,0.000000,-90.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
-2308.000000,-2783.000000,64.000000,0.000000,0.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
-2316.000000,-2726.000000,64.000000,0.000000,90.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
-2310.000000,-2671.000000,76.000000,0.000000,90.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
-2310.000000,-1877.000000,76.000000,0.000000,90.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
-2316.000000,-1820.000000,64.000000,0.000000,90.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
-2308.000000,-1765.000000,64.000000,0.000000,0.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
2400.000000,-2790.000000,76.000000,0.000000,180.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
2335.000000,-2787.000000,64.000000,0.000000,180.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
2282.000000,-2784.000000,64.000000,0.000000,90.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
1695.000000,-2790.000000,76.000000,0.000000,180.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
1816.000000,-2784.000000,64.000000,0.000000,90.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
1759.000000,-2787.000000,64.000000,0.000000,180.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
1312.000000,-1801.000000,64.000000,0.000000,0.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
1306.000000,-2417.000000,76.000000,0.000000,90.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
1309.000000,-2352.000000,64.000000,0.000000,90.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
1312.000000,-2299.000000,64.000000,0.000000,0.000000,0.000000,1,1,2,models/bg_medibox_group.mdl
1309.000000,-1744.000000,64.000000,0.000000,90.000000,0.000000,3,-1,2,models/bg_ammobox_group.mdl
1306.000000,-1680.000000,76.000000,0.000000,90.000000,0.000000,2,-1,2,models/bg_armorbox_group.mdl
