temp,id,type,ratio,cooltime,aniTime,aniSeq,damageDelay,damage,damageDegree,damageHeight,damageDist,forceAttackTime,startDistMin,startDistMax,startHealthMin,startHealthMax,approachDist,startMsg,kickSide,kickUp,rushPower
Spawn,1000,252,0,999999,1,appear1,0.2,0,0,0,0,0,0,1000,110,120,0,-1,0,0,200
Swing_Hard_R,1000,253,5,0.1,0.7,swing_R_combo,0.3,120,60,5,7,1,0,20,0,52,0,-1,400,50,800
Swing_Normal_R,1000,254,5,0.1,0.7,swing_R_combo,0.3,95,60,5,7,1,0,20,50,87,0,-1,400,50,800
Swing_Easy_R,1000,255,5,0.1,0.7,swing_R_combo,0.3,60,60,5,7,1,0,20,86,100,0,-1,400,50,800
Swing_Hard_L,1000,256,0,0.1,0.7,swing_L_combo,0.3,120,60,5,7,0,0,20,0,52,0,-1,400,50,800
Swing_Normal_L,1000,257,0,0.1,0.7,swing_L_combo,0.3,95,60,5,7,0,0,20,50,87,0,-1,400,50,800
Swing_Easy_L,1000,258,0,0.1,0.7,swing_L_combo,0.3,60,60,5,7,0,0,20,86,100,0,-1,400,50,800
Kick_Hard_R,1000,259,2,2,1,kick_R_combo,0.35,120,60,5,7,1,0,20,0,52,0,-1,300,250,600
Kick_Normal_R,1000,260,2,2,1,kick_R_combo,0.35,95,60,5,7,1,0,20,50,87,0,-1,300,250,600
Kick_Easy_R,1000,261,2,2,1,kick_R_combo,0.35,60,60,5,7,1,0,20,86,100,0,-1,300,250,600
Kick_Hard_L,1000,262,0,2,1,kick_L_combo,0.35,120,60,5,7,0,0,20,0,52,0,-1,300,250,600
Kick_Normal_L,1000,263,0,2,1,kick_L_combo,0.35,95,60,5,7,0,0,20,50,87,0,-1,300,250,600
Kick_Easy_L,1000,264,0,2,1,kick_L_combo,0.35,60,60,5,7,0,0,20,86,100,0,-1,300,250,600
Quake_Hard_R,1000,265,5,0.1,0.6,quake_R_combo,0.4,120,60,5,7,1,0,20,0,52,0,-1,500,250,800
Quake_Normal_R,1000,266,5,0.1,0.6,quake_R_combo,0.4,95,60,5,7,1,0,20,50,87,0,-1,500,250,800
Quake_Easy_R,1000,267,5,0.1,0.6,quake_R_combo,0.4,60,60,5,7,1,0,20,86,100,0,-1,500,250,800
Quake_Hard_L,1000,268,0,0.1,0.6,quake_L_combo,0.4,120,60,5,7,0,0,20,0,52,0,-1,500,250,800
Quake_Normal_L,1000,269,0,0.1,0.6,quake_L_combo,0.4,95,60,5,7,0,0,20,50,87,0,-1,500,250,800
Quake_Easy_L,1000,270,0,0.1,0.6,quake_L_combo,0.4,60,60,5,7,0,0,20,86,100,0,-1,500,250,800
PowerPunch_Hard_R,1000,271,5,0.1,0.7,powerpunch_R_combo,0.5,120,25,5,10,1,0,20,0,52,0,-1,500,50,800
PowerPunch_Normal_R,1000,272,5,0.1,0.7,powerpunch_R_combo,0.5,95,25,5,10,1,0,20,50,87,0,-1,500,50,800
PowerPunch_Easy_R,1000,273,5,0.1,0.7,powerpunch_R_combo,0.5,60,25,5,10,1,0,20,86,100,0,-1,500,50,800
PowerPunch_Hard_L,1000,274,0,0.1,0.7,powerpunch_L_combo,0.5,120,25,5,10,0,0,20,0,52,0,-1,500,50,800
PowerPunch_Normal_L,1000,275,0,0.1,0.7,powerpunch_L_combo,0.5,95,25,5,10,0,0,20,50,87,0,-1,500,50,800
PowerPunch_Easy_L,1000,276,0,0.1,0.7,powerpunch_L_combo,0.5,60,25,5,10,0,0,20,86,100,0,-1,500,50,800
Upper_Hard_R,1000,277,5,0.1,0.7,upper_R_combo,0.25,120,60,5,7,1,0,20,0,52,0,-1,300,250,800
Upper_Normal_R,1000,278,5,0.1,0.7,upper_R_combo,0.25,95,60,5,7,1,0,20,50,87,0,-1,300,250,800
Upper_Easy_R,1000,279,5,0.1,0.7,upper_R_combo,0.25,60,60,5,7,1,0,20,86,100,0,-1,300,250,800
Upper_Hard_L,1000,280,0,0.1,0.7,upper_L_combo,0.25,120,60,5,7,0,0,20,0,52,0,-1,300,250,800
Upper_Normal_L,1000,281,0,0.1,0.7,upper_L_combo,0.25,95,60,5,7,0,0,20,50,87,0,-1,300,250,800
Upper_Easy_L,1000,282,0,0.1,0.7,upper_L_combo,0.25,60,60,5,7,0,0,20,86,100,0,-1,300,250,800
Dash,1000,283,20,0.1,0.7,dash,1.3,50,0,5,10,1,10,1000,65,100,0,-1,600,250,2000
RocketA,1000,284,5,30,1,rocketA_start,0.5,100,0,5,10,1,10,1000,0,69,0,-1,200,50,10
RocketB,1000,285,7,1,1,rocketB_start,0.5,100,0,5,10,1,10,1000,0,69,0,-1,200,50,10
GunA,1000,286,5,1,1,gunA_start,0.5,75,0,5,10,1,10,1000,0,69,0,-1,300,50,10
GunB,1000,287,5,1,1,gunB_start,0.5,75,0,5,10,1,10,1000,0,69,0,-1,300,50,10
Groggy,1000,288,255,999999,9,groggy_type,0.8,0,0,5,10,0,0,1000,30,40,0,1597,300,50,0
Break_Left,1000,289,0,1,3.5,break_L,1.1,0,0,0,0,0,0,1000,0,100,0,-1,0,0,0
Break_Right,1000,290,0,1,3.5,break_R,1.1,0,0,0,0,0,0,1000,0,100,0,-1,0,0,0
Break_Both,1000,291,0,1,3.5,break,1.1,0,0,0,0,0,0,1000,0,100,0,-1,0,0,0
Dash,1000,292,10,0.1,0.7,dash,1.3,50,0,5,10,1,13,1000,0,67,0,-1,1000,250,2000
