x,y,z,pitch,yaw,roll,type,useCount,difficulty,model
422,-2726,76,0,0,0,2,-1,2,models/bg_armorbox_group.mdl
479,-2726,64,0,180,0,3,-1,2,models/bg_ammobox_group.mdl
535,-2726,64,0,90,0,1,1,2,models/bg_medibox_group.mdl
-2415,-2138,76,0,180,0,2,-1,2,models/bg_armorbox_group.mdl
-2472,-2138,64,0,0,0,3,-1,2,models/bg_ammobox_group.mdl
-2528,-2138,64,0,-90,0,1,1,2,models/bg_medibox_group.mdl
-2086,-1702,76,0,-90,0,2,-1,2,models/bg_armorbox_group.mdl
-2086,-1759,64,0,90,0,3,-1,2,models/bg_ammobox_group.mdl
-2086,-1815,64,0,0,0,1,1,2,models/bg_medibox_group.mdl
986,-1351,76,0,-90,0,2,-1,2,models/bg_armorbox_group.mdl
986,-1408,64,0,90,0,3,-1,2,models/bg_ammobox_group.mdl
986,-1464,64,0,0,0,1,1,2,models/bg_medibox_group.mdl
-857,1770,140,0,0,0,2,-1,2,models/bg_armorbox_group.mdl
-800,1770,128,0,180,0,3,-1,2,models/bg_ammobox_group.mdl
-744,1770,128,0,90,0,1,1,2,models/bg_medibox_group.mdl
-534,1289,140,0,-90,0,2,-1,2,models/bg_armorbox_group.mdl
-534,1232,128,0,90,0,3,-1,2,models/bg_ammobox_group.mdl
-534,1176,128,0,0,0,1,1,2,models/bg_medibox_group.mdl
-2042,2655,140,0,90,0,2,-1,2,models/bg_armorbox_group.mdl
-2042,2712,128,0,-90,0,3,-1,2,models/bg_ammobox_group.mdl
-2042,2768,128,0,180,0,1,1,2,models/bg_medibox_group.mdl
-1865,3242,140,0,0,0,2,-1,2,models/bg_armorbox_group.mdl
-1808,3242,128,0,180,0,3,-1,2,models/bg_ammobox_group.mdl
-1752,3242,128,0,90,0,1,1,2,models/bg_medibox_group.mdl
829,2906,140,0,0,0,2,-1,2,models/bg_armorbox_group.mdl
886,2906,128,0,180,0,3,-1,2,models/bg_ammobox_group.mdl
942,2906,128,0,90,0,1,1,2,models/bg_medibox_group.mdl
2087,3162,460,0,0,0,2,-1,2,models/bg_armorbox_group.mdl
2144,3162,448,0,180,0,3,-1,2,models/bg_ammobox_group.mdl
2200,3162,448,0,90,0,1,1,2,models/bg_medibox_group.mdl
3173,477,140,0,-90,0,2,-1,2,models/bg_armorbox_group.mdl
3173,534,128,0,-90,0,3,-1,2,models/bg_ammobox_group.mdl
3173,591,128,0,180,0,1,1,2,models/bg_medibox_group.mdl
1999,-262,128,0,-90,0,1,1,2,models/bg_medibox_group.mdl
2056,-262,128,0,0,0,3,-1,2,models/bg_ammobox_group.mdl
2113,-262,140,0,180,0,2,-1,2,models/bg_armorbox_group.mdl
3343,-1930,128,0,0,0,1,1,2,models/bg_medibox_group.mdl
3351,-1873,128,0,90,0,3,-1,2,models/bg_ammobox_group.mdl
3353,-1816,140,0,-90,0,2,-1,2,models/bg_armorbox_group.mdl
1512,-2410,140,0,90,0,2,-1,2,models/bg_armorbox_group.mdl
1514,-1981,128,0,-90,0,3,-1,2,models/bg_ammobox_group.mdl
1522,-2360,128,0,180,0,1,1,2,models/bg_medibox_group.mdl
2599,-2584,140,0,180,0,2,-1,2,models/bg_armorbox_group.mdl
2654,-2582,128,0,0,0,3,-1,2,models/bg_ammobox_group.mdl
2212,-2582,128,0,0,0,3,-1,2,models/bg_ammobox_group.mdl
2269,-2584,140,0,180,0,2,-1,2,models/bg_armorbox_group.mdl
