waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
1,1,0,21600,12,1 2,1 1,
1,2,0,21600,16,11 12,1 1,
1,3,0,21600,14,1 2,1 1,
1,4,0,21600,20,31 32,1 1,
1,5,0,21600,10,1 2 ,1 1,
1,6,0,21600,14,41 42,1 1,
1,7,0,21600,12,1 2,1 1,
1,8,0,21600,18,51 52,1 1,
1,9,0,21600,12,1 2,1 1,
1,10,0,21600,16,21 22,1 1,
1,11,0,21600,14,1 2,1 1,
1,12,0,21600,20,21 22,1 1,
1,13,0,21600,12,1 2,1 1,
1,14,0,21600,16,11 12,1 1,
1,15,0,21600,14,1 2,1 1,
1,16,0,21600,20,31 32,1 1,
1,17,0,21600,12,1 2 ,1 1,
1,18,0,21600,16,41 42,1 1,
1,19,0,21600,14,1 2,1 1,
1,20,0,21600,20,51 52,1 1,
1,1,0,0,0,32601,1,
