id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem,exp,nextmapid
32400,zombiejack,1,300,2,2700000,2700000,500,32000,2,1000,255 255 255,1,172,2,0,9,22400,-1
1,zombi_host,4,60,3,200,50,110,250,0,0,255 255 255,0,101,0,0,1,205,-1
2,zombi_origin,10,60,3,225,70,110,300,0,1,255 255 255,0,101,0,0,1,240,-1
3,zombi_host,15,70,2,300,90,120,350,0,0,255 255 255,0,101,0,0,1,275,-1
4,zombi_origin,25,70,2,325,110,120,450,0,1,255 255 255,0,101,0,0,1,345,-1
5,zombi_host,30,75,2,400,130,120,650,0,0,255 255 255,0,101,0,0,1,485,-1
6,zombi_origin,35,75,2,425,150,120,800,0,1,255 255 255,0,101,0,0,1,590,-1
7,zombi_host,35,75,2,550,170,120,1000,0,0,255 255 255,0,101,0,0,1,730,-1
8,zombi_origin,40,75,2,600,190,120,1200,0,1,255 255 255,0,101,0,0,1,870,-1
11,speed_zombi_host,5,60,2,30,15,200,250,0,0,255 255 255,0,110,0,0,1,205,-1
12,speed_zombi_origin,13,70,2,40,20,200,325,0,2,255 255 255,0,111,0,0,1,258,-1
13,speed_zombi_host,16,80,2,50,50,200,425,0,0,255 255 255,0,110,0,0,1,328,-1
14,speed_zombi_origin,22,80,2,80,60,200,500,0,2,255 255 255,0,111,0,0,1,380,-1
15,speed_zombi_host,26,85,2,125,100,200,650,0,0,255 255 255,0,110,0,0,1,485,-1
16,speed_zombi_origin,30,85,2,150,125,220,800,0,2,255 255 255,0,111,0,0,1,590,-1
17,speed_zombi_origin,35,85,2,170,125,220,1100,0,2,255 255 255,0,111,0,0,1,800,-1
18,speed_zombi_origin,40,85,2,200,125,220,1300,0,2,255 255 255,0,111,0,0,1,940,-1
21,heavy_zombi_host,10,40,4,1000,500,85,1000,0,0,255 255 255,0,121,0,0,1,415,-1
22,heavy_zombi_origin,15,50,4,1000,550,85,1100,0,3,255 255 255,0,121,0,0,1,485,-1
23,heavy_zombi_host,20,50,4,1250,600,90,1200,0,0,255 255 255,0,121,0,0,1,555,-1
24,heavy_zombi_origin,25,60,4,1450,700,90,1300,0,3,255 255 255,0,121,0,0,1,625,-1
25,heavy_zombi_host,30,60,3,1600,800,95,1500,0,0,255 255 255,0,121,0,0,1,765,-1
26,heavy_zombi_origin,35,70,3,2000,950,95,1800,0,3,255 255 255,0,121,0,0,1,870,-1
27,heavy_zombi_origin,40,70,3,2550,1200,100,2000,0,3,255 255 255,0,121,0,0,1,1080,-1
28,heavy_zombi_origin,42,70,3,3200,1300,100,2500,0,3,255 255 255,0,121,0,0,1,1185,-1
31,pc_zombi_host,8,60,3,150,80,180,300,0,0,255 255 255,0,130,0,0,1,240,-1
32,pc_zombi_origin,12,65,3,165,90,180,350,0,0,255 255 255,0,130,0,0,1,275,-1
33,pc_zombi_host,20,70,3,225,100,180,375,0,0,255 255 255,0,130,0,0,1,293,-1
34,pc_zombi_origin,30,75,3,235,110,180,450,0,0,255 255 255,0,130,0,0,1,345,-1
35,pc_zombi_host,35,75,2,320,120,200,650,0,0,255 255 255,0,130,0,0,1,485,-1
36,pc_zombi_origin,40,80,2,325,130,200,900,0,0,255 255 255,0,130,0,0,1,660,-1
37,pc_zombi_origin,40,80,2,375,140,200,1000,0,0,255 255 255,0,130,0,0,1,730,-1
38,pc_zombi_origin,40,80,2,395,150,200,1200,0,0,255 255 255,0,130,0,0,1,870,-1
41,heal_zombi_origin,10,60,3,200,80,160,475,0,0,255 255 255,0,141,0,0,1,363,-1
42,heal_zombi_host,15,70,3,250,100,160,550,0,0,255 255 255,0,141,0,0,1,415,-1
43,heal_zombi_origin,20,70,3,300,100,160,625,0,0,255 255 255,0,141,0,0,1,468,-1
44,heal_zombi_host,25,70,3,350,100,160,700,0,5,255 255 255,0,141,0,0,1,520,-1
45,heal_zombi_origin,30,80,3,400,150,160,800,0,0,255 255 255,0,141,0,0,1,590,-1
46,heal_zombi_host,30,80,3,450,200,160,1000,0,5,255 255 255,0,141,0,0,1,730,-1
47,heal_zombi_host,35,80,3,500,200,160,1200,0,5,255 255 255,0,141,0,0,1,870,-1
48,heal_zombi_host,35,80,3,550,200,160,1400,0,5,255 255 255,0,141,0,0,1,1010,-1
51,resident_zombi_origin,15,45,3,300,55,260,550,0,10,255 255 255,0,145,0,0,1,415,-1
52,resident_zombi_host,20,45,3,450,55,260,650,0,10,255 255 255,0,145,0,0,1,485,-1
53,resident_zombi_origin,33,45,3,550,65,270,800,0,10,255 255 255,0,145,0,0,1,590,-1
54,resident_zombi_host,38,50,3,600,65,270,1050,0,10,255 255 255,0,145,0,0,1,765,-1
55,resident_zombi_origin,43,50,2,625,70,270,1250,0,10,255 255 255,0,145,0,0,1,905,-1
61,boomer_zombi_host,35,50,4,1000,100,90,500,0,11,255 255 255,0,146,0,0,1,380,-1
62,boomer_zombi_origin,40,60,4,1250,150,90,600,0,11,255 255 255,0,146,0,0,1,450,-1
63,boomer_zombi_host,45,60,4,1500,150,90,750,0,11,255 255 255,0,146,0,0,1,555,-1
64,boomer_zombi_origin,50,70,3,2000,200,90,850,0,11,255 255 255,0,146,0,0,1,625,-1
65,boomer_zombi_host,55,70,3,2250,200,90,1000,0,11,255 255 255,0,146,0,0,1,730,-1
100,zombi_origin,10,80,2,250,50,150,450,0,1,255 255 255,0,101,0,0,1,345,-1
111,speed_zombi_origin,15,90,1,180,80,220,500,0,0,255 255 255,0,111,0,0,1,380,-1
121,heavy_zombi_origin,10,70,3,600,100,110,800,0,0,255 255 255,0,121,0,0,1,590,-1
131,pc_zombi_origin,10,75,2,200,100,250,450,0,0,255 255 255,0,130,0,0,1,345,-1
141,heal_zombi_host,10,70,3,220,100,170,550,0,0,255 255 255,0,141,0,0,1,415,-1
300,zombiedog,45,75,2,80,80,320,350,0,12,255 255 255,0,101,0,0,1,275,-1
301,zombiedog,15,55,2,95,80,330,375,0,12,255 255 255,0,144,0,0,1,293,-1
302,zombiedog,20,55,2,105,80,330,400,0,12,255 255 255,0,144,0,0,1,310,-1
303,zombiedog,25,55,2,115,80,330,425,0,12,255 255 255,0,144,0,0,1,328,-1
304,zombiedog,30,55,2,125,80,350,550,0,12,255 255 255,0,144,0,0,1,415,-1
305,zombiedog,75,60,1,300,150,375,1500,0,12,200 0 0,0,144,0,0,1,1250,-1
306,zombiedog,100,75,2,325,250,375,2000,0,12,255 0 0,0,144,0,0,1,1500,-1
400,zombieclimber,125,100,2,1000,250,180,1500,0,0,255 255 255,0,147,0,0,1,1750,-1
401,zombieclimber,150,100,2,1250,300,200,2000,0,1,255 0 0,0,147,0,0,1,2000,-1
501,zombi_host,4,60,3,200,50,110,250,0,0,255 255 255,0,101,3,0,1,205,-1
502,zombi_origin,10,60,3,225,70,110,300,0,1,255 255 255,0,101,3,0,1,240,-1
511,speed_zombi_host,5,60,2,30,15,200,250,0,0,255 255 255,0,110,3,0,1,205,-1
512,speed_zombi_origin,13,70,2,40,20,200,325,0,2,255 255 255,0,111,3,0,1,258,-1
521,heavy_zombi_host,10,40,4,1000,500,85,1000,0,0,255 255 255,0,121,3,0,1,415,-1
522,heavy_zombi_origin,15,50,4,1000,550,85,1100,0,3,255 255 255,0,121,3,0,1,485,-1
531,pc_zombi_host,8,60,3,150,80,180,300,0,0,255 255 255,0,130,3,0,1,240,-1
532,pc_zombi_origin,12,65,3,165,90,180,350,0,0,255 255 255,0,130,3,0,1,275,-1
541,heal_zombi_origin,10,60,3,200,80,160,475,0,0,255 255 255,0,141,3,0,1,363,-1
542,heal_zombi_host,15,70,3,250,100,160,550,0,0,255 255 255,0,141,3,0,1,415,-1
505,zombi_host,30,75,2,400,130,120,650,0,0,255 255 255,0,101,3,0,1,485,-1
506,zombi_origin,35,75,2,425,150,120,800,0,1,255 255 255,0,101,3,0,1,590,-1
507,zombi_host,35,75,2,550,170,120,1000,0,0,255 255 255,0,101,3,0,1,730,-1
