id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem,exp
1,zombi_origin,5,60,3,80,40,230,1000,0,1,255 255 255,0,101,0,0,1,700
2,speed_zombi_origin,15,50,4,70,30,250,1200,0,2,255 255 255,0,111,0,0,1,840
3,heavy_zombi_origin,10,60,4,200,200,210,1400,0,3,255 255 255,0,121,0,0,1,980
4,pc_zombi_origin,15,60,5,150,80,220,1600,0,4,255 255 255,0,131,0,0,1,1120
5,deimos_zombi_origin,15,50,5,300,250,200,3000,1,8,255 255 255,0,181,0,0,1,2100
100,zbs_bossS_jun03,30,50,1,200000,100000,230,10000,2,9,255 255 255,0,182,0,100,17,7000
101,zbs_bossS_jun02,80,90,1,400000,250000,240,12000,2,3,255 255 255,0,150,0,100,18,8400
102,zbs_bossL_big00,1,300,2,550000,300000,380,14000,2,1000,255 255 255,0,170,2,100,19,9800
103,zbs_bossL_big01,1,300,2,650000,350000,400,16000,2,1001,255 255 255,0,171,2,100,20,11200
30200,zbs_bossL_big02,1,300,2,1000000,500000,220,18000,2,1002,255 255 255,0,170,2,100,21,12600
32100,bearboss,1,300,2,1000000,1000000,250,18000,2,1003,255 255 255,0,170,2,100,22,15000
