waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
1,9999,6,0,0,9999,1,599
1,9999,8,0,0,9999,1,600
1,9999,10,0,0,9999,1,601
1,9999,12,0,0,9999,1,602
1,9999,14,0,0,9999,1,603
1,9999,16,0,0,9999,1,604
1,9999,19,0,0,9999,1,605
1,9999,22,0,0,9999,1,606
1,9999,25,0,0,9999,1,607
1,9999,27,0,0,9999,1,608
1,9999,30,0,0,9999,1,609
1,9999,33,0,0,9999,1,610
1,9999,35,0,0,9999,1,611
1,9999,38,0,0,9999,1,612
1,9999,41,0,0,9999,1,613
1,10,1,33,3,25,1,
1,11,1,33,4,26,1,
1,12,1,33,3,25,1,
2,1,0,120,3,1,1,
2,2,0,120,4,2,1,
2,3,0,120,3,9,1,
2,4,0,120,4,10,1,
2,5,0,120,3,17,1,
2,6,0,120,4,18,1,
2,10,0,120,3,25,1,
2,11,0,120,4,26,1,
2,12,0,120,3,25,1,
3,1,0,120,3,1,1,
3,2,0,120,4,2,1,
3,3,0,120,3,9,1,
3,4,0,120,4,10,1,
3,5,0,120,3,17,1,
3,6,0,120,4,18,1,
3,10,0,120,3,25,1,
3,11,0,120,4,26,1,
3,12,0,120,3,25,1,
4,9999,0,0,0,9999,1,617
4,9999,3,0,0,9999,1,618
4,20,0,300,4,25,1,
4,21,0,300,3,41,1,
4,22,0,300,5,42,1,
4,500,3,0,0,31002,1,
6,30,0,600,8,25,1,
6,31,0,600,10,26,1,
6,32,0,600,6,49,1,
50,100,0,12,3,57,1,
50,101,0,12,4,58,1,
50,102,0,12,3,57,1,
50,106,0,12,3,58,1,
50,107,0,12,4,57,1,
50,108,0,12,3,58,1,
51,200,0,12,2,57,1,
51,201,0,12,2,58,1,
51,206,0,12,2,57,1,
51,207,0,12,2,58,1,
10000,9999,0,0,0,9999,1,622
10000,9999,2,0,0,9999,1,623
10000,9999,4,0,0,9999,1,624
10000,9999,6,0,0,9999,1,625
10000,9999,8,0,0,9999,1,626
10000,9999,10,0,0,9999,1,627
10000,9999,13,0,0,9999,1,628
10000,9999,15,0,0,9999,1,629
10000,9999,19,0,0,9999,1,630
10000,11000,7,5,0,31101,1,
10000,11001,7,5,0,31102,1,
10001,9999,2,0,0,9999,1,633
10001,9999,4,0,0,9999,1,634
10001,9999,7,0,0,9999,1,635
10001,11002,1,5,0,31103,1,
10001,11003,1,5,0,31104,1,
10001,11006,1,5,0,31100,1,
10002,9999,0,0,0,9999,1,638
10002,9999,2,0,0,9999,1,639
10002,9999,5,0,0,9999,1,640
10002,11004,1,5,0,31105,1,
10002,11005,1,5,0,31106,1,
