id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem,exp
1,zombi_host,5,60,3,50,30,250,900,0,0,255 255 255,0,101,0,0,1,630
2,zombi_origin,7,60,3,60,30,250,1240,0,1,255 255 255,0,101,0,0,1,868
9,speed_zombi_host,5,60,3,30,15,260,1000,0,0,255 255 255,0,110,0,0,1,700
10,speed_zombi_origin,7,70,3,40,25,280,1320,0,2,255 255 255,0,111,0,0,1,924
17,heavy_zombi_host,7,40,4,200,50,220,2000,0,0,255 255 255,0,121,0,0,1,1400
18,heavy_zombi_origin,10,50,4,300,60,230,2500,0,3,255 255 255,0,121,0,0,1,1750
25,pc_zombi_host,8,60,4,75,55,250,1600,0,0,255 255 255,0,130,0,0,1,1120
26,pc_zombi_origin,12,65,4,85,65,250,1800,0,0,255 255 255,0,130,0,0,1,1260
41,zombiedog,10,55,4,25,10,310,1000,0,12,255 255 255,0,144,0,0,1,700
42,zombiedog,15,55,4,35,15,330,1100,0,12,255 255 255,0,144,0,0,1,770
49,resident_zombi_origin,10,45,4,60,40,270,1800,0,10,255 255 255,0,145,0,0,1,1260
50,resident_zombi_host,15,45,4,75,40,270,2200,0,10,255 255 255,0,145,0,0,1,1540
57,boomer_zombi_origin,5,40,5,3,0,200,1400,0,11,255 255 255,0,146,0,0,1,980
58,boomer_zombi_host,5,30,5,3,0,200,1800,0,11,255 255 255,0,146,0,0,1,1260
31002,zbs_bossL_big09_nohealthbar,501,310,2,3000000,2000000,205,8888,1,1000,255 255 255,0,172,2,0,2,6222
31100,krakenbody,1,300,2,1000000,1000000,0,32000,2,0,255 255 255,0,170,2,0,3,22400
31101,kraken_tentacle,1,300,2,200000,200000,0,32000,2,0,255 255 255,0,170,2,0,0,22400
31102,kraken_tentacle,1,300,2,200000,200000,0,32000,2,0,255 255 255,0,170,2,0,0,22400
31103,kraken_tentacle,1,300,2,500000,500000,0,32000,2,0,255 255 255,0,170,2,0,0,22400
31104,kraken_tentacle,1,300,2,500000,500000,0,32000,2,0,255 255 255,0,170,2,0,0,22400
31105,kraken_tentacle,1,300,2,500000,500000,0,32000,2,0,255 255 255,0,170,2,0,0,22400
31106,kraken_tentacle,1,300,2,500000,500000,0,32000,2,0,255 255 255,0,170,2,0,0,22400
