waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage,,,,,,,
1,31201,0,0,0,31201,1,,,,,,,,
1,1,0,21600,2,1 9,1 1,,,,,,,,
1,2,0,21600,2,2 10,1 1,,,,,,,,
1,3,0,21600,3,25 33,1 1,,,,,,,,
1,4,0,21600,3,26 34,1 1,,,,,,,,
1,5,0,21600,2,1 9,1 1,,,,,,,,
1,6,0,21600,2,2 10,1 1,,,,,,,,
1,7,0,21600,3,1 17,1 1,,,,,,,,
1,8,0,21600,3,2 18,1 1,,,,,,,,
1,9,0,21600,2,1 33,1 1,,,,,,,,
1,10,0,21600,2,9 18,1 1,,,,,,,,
1,9999,0,0,0,9999,1,991,,,,,,,
1,9999,3,0,0,9999,1,992,,,,,,,
2,21,0,9,3,1,1,,,,,,,,
2,22,0,9,3,2,1,,,,,,,,
2,23,0,9,2,1,1,,,,,,,,
2,24,0,9,2,9,1,,,,,,,,
2,9999,0,0,0,9999,1,993,,,,,,,
2,9999,3,0,0,9999,1,994,,,,,,,
2,9999,6,0,0,9999,1,995,,,,,,,
2,9999,9,0,0,9999,1,996,,,,,,,
2,9999,12,0,0,9999,1,997,,,,,,,
2,9999,15,0,0,9999,1,998,,,,,,,
2,9999,18,0,0,9999,1,999,,,,,,,
3,31,0,21600,3,17 33,1 1,,,,,,,,
3,32,0,21600,3,18 34,1 1,,,,,,,,
3,33,0,21600,2,1 9,1 1,,,,,,,,
3,34,0,21600,2,2 10,1 1,,,,,,,,
3,35,0,21600,3,47 51,1 1,,,,,,,,
3,36,0,21600,3,48 52,1 1,,,,,,,,
3,9999,0,0,0,9999,1,1014,,,,,,,
3,9999,3,0,0,9999,1,1015,,,,,,,
4,41,0,21600,2,2 10,1 1,,,,,,,,
4,42,0,21600,2,18 52,1 1,,,,,,,,
4,43,0,21600,3,33 47,1 1,,,,,,,,
4,44,0,21600,3,34 48,1 1,,,,,,,,
4,45,0,21600,2,1 33,1 1,,,,,,,,
4,46,0,21600,2,2 34,1 1,,,,,,,,
4,9999,0,0,0,9999,1,1016,,,,,,,
5,51,0,21600,3,9 51,1 1,,,,,,,,
5,52,0,21600,3,10 52,1 1,,,,,,,,
5,53,0,21600,2,1 10,1 1,,,,,,,,
5,54,0,21600,2,2 11,1 1,,,,,,,,
5,55,0,21600,3,3 11,1 1,,,,,,,,
5,56,0,21600,3,4 12,1 1,,,,,,,,
5,57,0,21600,2,18 34,1 1,,,,,,,,
5,9999,0,0,0,9999,1,1017,,,,,,,
5,9999,3,0,0,9999,1,1018,,,,,,,
5,9999,6,0,0,9999,1,1075,,,,,,,
6,61,0,21600,2,19 35,1 1,,,,,,,,`
6,62,0,21600,3,2 18,1 1,,,,,,,,
6,63,0,21600,3,3 19,1 1,,,,,,,,
6,64,0,21600,2,10 52,1 1,,,,,,,,
6,9999,0,0,0,9999,1,1021,,,,,,,
6,9999,3,0,0,9999,1,1022,,,,,,,
6,9999,6,0,0,9999,1,1023,,,,,,,
6,9999,9,0,0,9999,1,1024,,,,,,,
6,9999,12,0,0,9999,1,1025,,,,,,,
6,9999,15,0,0,9999,1,1026,,,,,,,
7,71,0,21600,2,11 53,1 1,,,,,,,,
7,72,0,21600,2,4 19,1 1,,,,,,,,
7,73,0,21600,2,12 19,1 1,,,,,,,,
7,74,0,21600,3,3 11,1 1,,,,,,,,
7,75,0,21600,3,4 12,1 1,,,,,,,,
7,76,0,21600,2,19 27,1 1,,,,,,,,
8,81,20,21600,2,3 11,1 1,,,,,,,,
8,82,20,21600,2,4 12,1 1,,,,,,,,
8,83,20,21600,2,20 28,1 1,,,,,,,,
8,84,20,21600,3,19 35,1 1,,,,,,,,
8,85,20,21600,3,12 53,1 1,,,,,,,,
8,86,20,21600,2,19 48,1 1,,,,,,,,
8,87,20,21600,2,4 53,1 1,,,,,,,,
8,88,20,21600,3,3 11,1 1,,,,,,,,
8,1000,0,0,0,32000,1,,,,,,,,
8,9999,0,0,0,9999,1,1019,,,,,,,
8,9999,3,0,0,9999,1,1020,,,,,,,
8,9999,6,0,0,9999,1,1009,,,,,,,
8,9999,9,0,0,9999,1,1010,,,,,,,
8,9999,12,0,0,9999,1,1011,,,,,,,
8,9999,15,0,0,9999,1,1012,,,,,,,
8,9999,18,0,0,9999,1,1013,,,,,,,
9,91,0,21600,2,12 36,1 1,,,,,,,,
9,92,0,21600,2,4 20,1 1,,,,,,,,
9,93,0,21600,3,20 36,1 1,,,,,,,,
9,94,0,21600,3,3 11,1 1,,,,,,,,
9,95,0,21600,2,48 53,1 1,,,,,,,,
9,96,0,21600,2,4 12,1 1,,,,,,,,
