waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
1,9999,0,0,0,9999,1,2784
1,9999,3,0,0,9999,1,2785
1,9999,6,0,0,9999,1,2786
1,9999,9,0,0,9999,1,2787
1,9999,12,0,0,9999,1,2788
1,9999,15,0,0,9999,1,2789
1,9999,18,0,0,9999,1,2790
1,9999,21,0,0,9999,1,2791
1,9999,24,0,0,9999,1,2792
1,1,0,3600,3,1 2,1 1 ,
1,2,0,3600,3,3 4,1 1,
1,3,0,3600,3,5 6,1 1,
1,4,0,3600,3,7 8,1 1,
1,5,0,3600,3,9 10,1 1,
1,6,0,3600,3,11 12,1 1,
1,7,0,3600,3,13 14,1 1,
1,8,0,3600,3,15 16,1 1,
2,9,0,3600,3,1 2,1 1 ,
2,10,0,3600,3,3 4,1 1,
2,11,0,3600,3,5 6,1 1,
2,12,0,3600,3,7 8,1 1,
2,13,0,3600,3,9 10,1 1,
2,14,0,3600,3,11 12,1 1,
2,15,0,3600,3,13 14,1 1,
2,16,0,3600,3,15 16,1 1,
2,17,0,3600,3,1 2,1 1 ,
2,18,0,3600,3,3 4,1 1,
2,19,0,3600,3,5 6,1 1,
2,20,0,3600,3,7 8,1 1,
2,21,0,3600,3,9 10,1 1,
2,22,0,3600,3,11 12,1 1,
2,23,0,3600,3,13 14,1 1,
2,24,0,3600,3,15 16,1 1,
2,25,0,3600,3,1 2,1 1 ,
2,26,0,3600,3,3 4,1 1,
2,27,0,3600,3,5 6,1 1,
2,28,0,3600,3,7 8,1 1,
2,29,0,3600,3,9 10,1 1,
2,30,0,3600,3,11 12,1 1,
2,31,0,3600,3,13 14,1 1,
2,32,0,3600,3,15 16,1 1,
3,9999,0,0,0,9999,1,2793
3,9999,3,0,0,9999,1,2794
3,9999,6,0,0,9999,1,2795
3,9999,9,0,0,9999,1,2796
3,9999,12,0,0,9999,1,2797
3,9999,15,0,0,9999,1,2798
3,9999,18,0,0,9999,1,2799
3,33,0,3600,3,1 2,1 1 ,
3,34,0,3600,3,3 4,1 1,
3,35,0,3600,3,5 6,1 1,
3,36,0,3600,3,7 8,1 1,
3,37,0,3600,3,9 10,1 1,
3,38,0,3600,3,11 12,1 1,
3,39,0,3600,3,13 14,1 1,
3,40,0,3600,3,15 16,1 1,
4,9999,0,0,0,9999,1,2800
4,9999,3,0,0,9999,1,2801
4,9999,6,0,0,9999,1,2802
4,9999,9,0,0,9999,1,2803
4,41,0,3600,3,1 2,1 1 ,
4,42,0,3600,3,3 4,1 1,
4,43,0,3600,3,5 6,1 1,
4,44,0,3600,3,7 8,1 1,
4,45,0,3600,3,9 10,1 1,
4,46,0,3600,3,11 12,1 1,
4,47,0,3600,3,13 14,1 1,
4,48,0,3600,3,15 16,1 1,
4,49,0,3600,3,1 2,1 1 ,
4,50,0,3600,3,3 4,1 1,
4,51,0,3600,3,5 6,1 1,
4,52,0,3600,3,7 8,1 1,
4,53,0,3600,3,9 10,1 1,
4,54,0,3600,3,11 12,1 1,
4,55,0,3600,3,13 14,1 1,
4,56,0,3600,3,15 16,1 1,
4,57,0,3600,3,1 2,1 1 ,
4,58,0,3600,3,3 4,1 1,
4,59,0,3600,3,5 6,1 1,
4,60,0,3600,3,7 8,1 1,
5,9999,0,0,0,9999,1,2804
5,9999,3,0,0,9999,1,2805
5,9999,6,0,0,9999,1,2806
5,9999,9,0,0,9999,1,2807
5,61,0,3600,3,9 10,1 1,
5,62,0,3600,3,11 12,1 1,
5,63,0,3600,3,13 14,1 1,
5,64,0,3600,3,15 16,1 1,
5,65,0,3600,3,1 2,1 1 ,
