waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
50,9999,5,0,0,9999,1,227
50,9999,9,0,0,9999,1,228
50,9999,12,0,0,9999,1,229
50,9999,15,0,0,9999,1,230
50,9999,17,0,0,9999,1,231
50,9999,19,0,0,9999,1,232
50,9999,21,0,0,9999,1,233
50,9999,23,0,0,9999,1,234
1,1,0,21600,5,1,1,
1,2,0,21600,6,2,1,
1,3,0,21600,6,14,1,
1,4,0,21600,4,7,1,
1,5,0,21600,4,26,1,
1,6,0,21600,4,1,1,
1,7,0,21600,5,26,1,
1,8,0,21600,5,14,1,
1,149,0,21600,5,8,1,
1,150,0,21600,5,7,1,
1,151,0,21600,5,2,1,
1,301,0,21600,3,26,1,
1,302,0,21600,3,7,1,
1,307,0,21600,3,7,1,
1,308,0,21600,3,13,1,
1,9999,1,0,0,9999,1,235
1,9999,3,0,0,9999,1,236
1,9999,5,0,0,9999,1,237
1,9999,7,0,0,9999,1,238
2,1,1,25,5,1,1,
2,2,1,25,6,2,1,
2,3,0,21600,6,14,1,
2,4,0,21600,4,7,1,
2,5,0,21600,4,26,1,
2,6,0,21600,4,13,1,
2,7,0,21600,5,26,1,
2,8,0,21600,5,14,1,
2,17,0,21600,0,8,1,
2,18,0,21600,0,26,1,
2,19,0,21600,0,14,1,
2,20,0,21600,0,7,1,
2,149,0,21600,5,8,1,
2,150,0,21600,5,7,1,
2,151,0,21600,5,2,1,
2,301,1,10,3,26,1,
2,302,1,10,3,7,1,
2,307,0,21600,3,7,1,
2,308,0,21600,3,1,1,
2,9999,1,0,0,9999,1,239
2,9999,3,0,0,9999,1,240
3,7,0,21600,4,2,1,
3,8,0,21600,4,14,1,
3,9,0,21600,5,8,1,
3,10,0,21600,5,1,1,
3,11,0,21600,3,2,1,
3,12,0,21600,3,13,1,
3,313,0,21600,3,26,1,
3,314,0,21600,3,8,1,
4,13,0,21600,4,7,1,
4,14,0,21600,4,26,1,
4,15,0,21600,3,19,1,
4,16,0,21600,3,1,1,
4,21,0,21600,0,13,1,
4,22,0,21600,0,8,1,
4,23,0,21600,0,32,1,
4,24,0,21600,0,19,1,
4,25,0,21600,0,25,1,
4,26,0,21600,0,1,1,
4,27,0,21600,0,26,1,
4,28,0,21600,0,2,1,
5,9,0,21600,3,2,1,
5,10,0,21600,3,19,1,
5,13,0,21600,4,7,1,
5,14,0,21600,4,26,1,
5,15,0,21600,3,19,1,
5,16,0,21600,3,1,1,
5,315,0,21600,2,2,1,
5,316,0,21600,2,8,1,
5,317,0,21600,3,2,1,
5,318,0,21600,3,8,1,
5,9999,1,0,0,9999,1,241
6,16,0,21600,3,19,1,
6,29,0,21600,4,1,1,
6,30,0,21600,4,7,1,
6,31,0,21600,3,7,1,
6,32,0,21600,5,13,1,
6,321,0,21600,3,19,1,
6,322,0,21600,3,26,1,
7,31,0,21600,3,9,1,
7,32,0,21600,3,10,1,
7,33,0,21600,3,21,1,
7,34,0,21600,6,22,1,
7,179,0,21600,0,101,1,
7,321,0,21600,3,15,1,
7,322,0,21600,4,16,1,
7,323,0,21600,4,3,1,
7,324,0,21600,4,4,1,
51,9999,5,0,0,9999,1,239
51,29,0,21600,4,7,1,
51,30,0,21600,4,13,1,
51,319,0,21600,3,19,1,
51,320,0,21600,3,26,1,
51,31,0,21600,4,7,1,
51,32,0,21600,4,13,1,
51,33,0,21600,3,19,1,
51,34,0,21600,3,8,1,
51,35,0,21600,5,3,1,
51,36,0,21600,5,26,1,
51,37,0,21600,4,19,1,
51,38,0,21600,4,8,1,
51,39,0,21600,6,15,1,
51,40,0,21600,6,3,1,
51,325,0,21600,8,8,1,
51,326,0,21600,8,26,1,
8,9999,3,0,0,9999,1,243
8,9999,7,0,0,9999,1,244
8,39,0,21600,3,21,1,
8,40,0,21600,3,15,1,
8,325,0,21600,4,3,1,
8,326,0,21600,4,4,1,
8,39,0,21600,5,7,1,
8,40,0,21600,5,8,1,
8,41,0,21600,3,3,1,
8,42,0,21600,3,4,1,
8,43,0,21600,4,7,1,
8,44,0,21600,5,8,1,
8,45,0,21600,5,4,1,
8,46,0,21600,4,26,1,
8,47,0,21600,4,7,1,
8,48,0,21600,5,8,1,
8,53,0,21600,3,16,1,
8,54,0,21600,6,21,1,
8,55,0,21600,6,21,1,
8,56,0,21600,3,3,1,
8,325,0,21600,5,1,1,
8,326,0,21600,8,2,1,
8,327,0,21600,5,26,1,
8,328,0,21600,8,7,1,
9,39,0,21600,3,19,1,
9,40,0,21600,3,19,1,
9,45,0,21600,4,4,1,
9,46,0,21600,3,26,1,
9,47,0,21600,3,7,1,
9,48,0,21600,5,8,1,
9,49,0,21600,3,13,1,
9,50,0,21600,3,14,1,
9,51,0,21600,3,2,1,
9,52,0,21600,3,1,1,
9,53,0,21600,0,25,1,
9,54,0,21600,0,25,1,
9,55,0,21600,3,2,1,
9,56,0,21600,4,7,1,
9,325,0,21600,3,3,1,
9,326,0,21600,3,27,1,
9,9999,1,0,0,9999,1,244
9,9999,5,0,0,9999,1,245
10,49,0,21600,4,3,1,
10,50,0,21600,4,26,1,
10,51,0,21600,3,9,1,
10,52,0,21600,3,10,1,
10,57,0,21600,3,9,1,
10,58,0,21600,3,3,1,
10,59,0,21600,3,1,1,
10,60,0,21600,3,2,1,
10,401,0,21600,4,13,1,
10,402,0,21600,6,19,1,
10,403,0,21600,4,2,1,
10,404,0,21600,0,25,1,
1,49,0,21600,4,3,1,
11,50,0,21600,4,26,1,
11,51,0,21600,3,9,1,
11,52,0,21600,3,10,1,
11,57,0,21600,6,21,1,
11,58,0,21600,6,15,1,
11,59,0,21600,3,3,1,
11,60,0,21600,3,4,1,
11,61,0,21600,3,15,1,
11,62,0,21600,3,16,1,
11,65,0,21600,6,22,1,
11,66,0,21600,6,28,1,
11,403,0,21600,3,10,1,
11,404,0,21600,3,21,1,
11,405,0,21600,3,19,1,
11,406,0,21600,3,3,1,
12,50,0,21600,4,26,1,
12,51,0,21600,3,9,1,
12,52,0,21600,3,10,1,
12,57,0,21600,6,21,1,
12,59,0,21600,3,3,1,
12,60,0,21600,3,26,1,
12,61,0,21600,3,9,1,
12,62,0,21600,3,10,1,
12,63,0,21600,4,15,1,
12,64,0,21600,4,16,1,
12,403,0,21600,3,3,1,
12,404,0,21600,3,4,1,
12,405,0,21600,3,19,1,
12,406,0,21600,3,20,1,
12,407,0,21600,4,7,1,
12,408,0,21600,4,3,1,
13,61,0,21600,3,9,1,
13,62,0,21600,3,10,1,
13,63,0,21600,4,15,1,
13,64,0,21600,4,16,1,
13,65,0,21600,6,21,1,
13,66,0,21600,6,21,1,
13,405,0,21600,3,19,1,
13,406,0,21600,3,20,1,
13,407,0,21600,4,3,1,
13,408,0,21600,4,4,1,
13,409,0,21600,3,19,1,
13,410,0,21600,3,21,1,
14,61,0,21600,3,9,1,
14,62,0,21600,3,10,1,
14,63,0,21600,4,15,1,
14,64,0,21600,4,16,1,
14,65,0,21600,6,21,1,
14,66,0,21600,6,21,1,
14,405,0,21600,3,3,1,
14,406,0,21600,3,26,1,
14,407,0,21600,4,7,1,
14,408,0,21600,4,8,1,
14,409,0,21600,3,3,1,
14,410,0,21600,3,4,1,
15,65,0,21600,6,21,1,
15,66,0,21600,6,22,1,
15,71,0,21600,3,3,1,
15,72,0,21600,3,4,1,
15,73,0,21600,3,9,1,
15,74,0,21600,3,10,1,
15,75,0,21600,4,26,1,
15,76,0,21600,4,16,1,
15,77,0,21600,4,21,1,
15,78,0,21600,4,19,1,
15,79,0,21600,3,3,1,
15,80,0,21600,3,4,1,
15,81,0,21600,3,9,1,
15,82,0,21600,3,10,1,
15,409,0,21600,3,3,1,
15,410,0,21600,3,4,1,
16,9999,5,0,0,9999,1,270
16,67,0,21600,5,20,1,
16,68,0,21600,5,28,1,
16,69,0,21600,6,15,1,
16,70,0,21600,6,16,1,
16,75,0,21600,2,26,1,
16,76,0,21600,2,16,1,
16,77,0,21600,3,21,1,
16,78,0,21600,3,19,1,
16,79,0,21600,3,3,1,
16,80,0,21600,3,4,1,
16,81,0,21600,3,9,1,
16,82,0,21600,3,10,1,
16,83,0,21600,3,19,1,
16,84,0,21600,3,3,1,
16,85,0,21600,3,9,1,
16,86,0,21600,0,15,1,
16,87,0,21600,0,26,1,
16,88,0,21600,0,3,1,
16,89,0,21600,0,9,1,
17,9999,1,0,0,9999,1,244
17,9999,3,0,0,9999,1,246
17,9999,6,0,0,9999,1,247
17,71,0,21600,3,3,1,
17,72,0,21600,3,4,1,
17,73,0,21600,3,9,1,
17,74,0,21600,3,10,1,
17,83,0,21600,3,9,1,
17,84,0,21600,3,23,1,
17,85,0,21600,3,26,1,
17,90,0,21600,0,100,1,
17,94,1,21600,6,21,1,
17,95,1,21600,3,10,1,
17,96,1,21600,3,5,1,
17,118,0,21600,3,16,1,
17,119,0,21600,3,21,1,
52,9999,1,0,0,9999,1,248
52,9999,4,0,0,9999,1,249
18,79,0,21600,3,16,1,
18,80,0,21600,3,3,1,
18,81,0,21600,3,26,1,
18,82,0,21600,3,9,1,
18,83,0,21600,3,19,1,
18,84,0,21600,3,3,1,
18,85,0,21600,4,4,1,
18,97,0,21600,4,9,1,
18,98,0,21600,5,3,1,
18,99,0,21600,5,9,1,
18,9999,1,0,0,9999,1,244
19,9999,3,0,0,9999,1,250
19,9999,5,0,0,9999,1,251
19,9999,7,0,0,9999,1,244
19,97,0,21600,3,9,1,
19,98,0,21600,3,3,1,
19,99,0,21600,3,4,1,
19,104,0,21600,3,15,1,
19,105,0,21600,3,26,1,
19,106,0,21600,3,21,1,
19,107,0,21600,4,10,1,
19,108,0,21600,4,5,1,
19,109,0,21600,4,19,1,
19,110,0,21600,5,3,1,
19,111,0,21600,5,4,1,
19,112,0,21600,3,9,1,
19,113,0,21600,3,3,1,
19,114,0,21600,3,9,1,
19,115,0,21600,4,15,1,
19,116,0,21600,2,20,1,
19,117,0,21600,2,15,1,
19,120,0,21600,4,16,1,
19,121,0,21600,4,21,1,
19,123,0,21600,4,18,1,
19,124,0,21600,4,26,1,
19,177,0,21600,0,102,1,
19,333,0,21600,3,15,1,
19,334,0,21600,2,26,1,
20,112,0,21600,4,5,1,
20,113,0,21600,4,6,1,
20,114,0,21600,3,26,1,
20,115,0,21600,3,19,1,
20,120,0,21600,4,27,1,
20,121,0,21600,4,10,1,
