id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem,exp
2000,zombi_host,10,50,3,40,10,315,30,0,0,255 255 255,0,100,0,0,1,755
2001,zombi_host,10,50,3,40,10,450,30,0,0,255 255 255,0,100,0,0,1,755
2002,zombi_host,10,50,3,40,10,585,30,0,0,255 255 255,0,100,0,0,1,755
2003,zombi_host,50,50,1.5,150,100,720,70,0,0,240 130 60,0,100,0,0,1,813
2004,zombi_host,50,50,1.5,150,100,900,70,0,0,240 130 60,0,100,0,0,1,813
2005,zombi_host,50,50,1.5,150,100,1080,70,0,0,240 130 60,0,100,0,0,1,813
2010,zombi_origin,20,50,3,200,50,585,50,0,1,255 255 255,0,101,0,0,1,785
2011,zombi_origin,20,50,3,200,50,720,50,0,1,255 255 255,0,101,0,0,1,785
2012,zombi_origin,70,50,1,400,200,1125,100,0,1,240 130 60,0,101,0,0,1,785
2013,zombi_origin,70,50,1,500,300,1215,100,0,1,240 130 60,0,101,0,0,1,785
2020,speed_zombi_host,15,50,4.5,30,0,585,30,0,0,255 255 255,0,110,0,0,1,755
2021,speed_zombi_host,15,50,4.5,30,0,720,30,0,0,255 255 255,0,110,0,0,1,755
2022,speed_zombi_host,15,50,4.5,30,0,900,30,0,0,255 255 255,0,110,0,0,1,755
2030,speed_zombi_origin,30,50,3.5,150,25,1080,50,0,2,255 255 255,0,111,0,0,1,785
2031,speed_zombi_origin,30,50,3.5,150,25,720,50,1,2,255 255 255,0,111,0,0,1,785
2040,heavy_zombi_host,20,50,4,130,50,315,35,0,0,255 255 255,0,120,0,0,1,813
2041,heavy_zombi_host,20,50,4,130,50,450,35,0,0,255 255 255,0,120,0,0,1,813
2050,heavy_zombi_origin,40,50,3,400,100,450,55,0,3,255 255 255,0,121,0,0,1,905
2051,heavy_zombi_origin,40,50,3,400,100,450,55,1,3,255 255 255,0,121,0,0,1,905
2060,pc_zombi_host,10,50,3,40,10,315,30,0,0,255 255 255,0,130,0,0,1,800
2070,pc_zombi_origin,10,50,3,60,30,450,50,0,4,255 255 255,0,131,0,0,1,760
2071,pc_zombi_origin,10,50,3,80,30,450,50,1,4,255 255 255,0,131,0,0,1,760
2080,heal_zombi_host,10,50,5,30,20,585,30,0,0,255 255 255,0,140,0,0,1,755
2081,heal_zombi_host,10,50,5,30,20,720,30,0,0,255 255 255,0,140,0,0,1,755
2090,heal_zombi_origin,15,50,5,100,30,720,100,0,5,255 255 255,0,141,0,0,1,755
2091,heal_zombi_origin,15,50,5,100,30,540,100,1,5,255 255 255,0,141,0,0,1,755
2200,zombi_host,5,1500,3,40,20,-25,40,1,6,80 228 91,0,102,0,0,1,913
2201,zombi_host,5,1500,3,40,20,-25,40,0,6,80 228 91,0,102,0,0,1,913
2202,zombi_host,5,1500,3,40,20,-60,40,0,6,80 228 91,0,102,0,0,1,913
2500,zbs_bossS_jun00,50,80,1,10000,1500,280,3000,1,3,255 255 255,0,150,0,0,2,6300
2501,zbs_bossS_jun00,80,80,1,20000,2500,360,5000,1,3,255 255 255,0,150,0,0,2,10500
2502,zbs_bossS_jun00,100,80,1,25000,3000,400,7000,1,3,255 255 255,0,150,0,0,2,14700
2503,zbs_bossS_jun00,100,80,1,30000,3500,460,9000,1,3,255 255 255,0,150,0,0,2,18900
2504,zbs_bossS_jun00,100,80,1,40000,4000,500,12000,1,3,255 255 255,0,150,0,0,2,25200
2600,bonus_mon02,0,50,5,50,50,675,50,0,0,255 255 255,0,160,0,0,1,1050
2610,speed_zombi_origin,50,50,3,2000,500,1215,500,0,1,2 2 2,0,113,0,0,1,1050
2611,speed_zombi_origin,50,50,3,2000,500,540,500,1,1,2 2 2,0,113,0,0,1,1050
2620,heavy_zombi_origin,180,55,1.5,5000,2000,120,500,1,4,60 120 230,0,123,0,0,1,1050
2700,speed_zombi_host,150,60,0.5,70000,20000,1350,10000,0,7,210 0 240,0,114,0,0,1,21000
