id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem
2000,zombi_host,10,50,5,40,10,70,30,0,0,255 255 255,0,100,0,0,1
2001,zombi_host,10,50,5,40,10,100,30,0,0,255 255 255,0,100,0,0,1
2002,zombi_host,10,50,5,40,10,130,30,0,0,255 255 255,0,100,0,0,1
2003,zombi_host,50,50,1.5,150,100,160,70,0,0,240 130 60,0,100,0,0,1
2004,zombi_host,50,50,1.5,150,100,200,70,0,0,240 130 60,0,100,0,0,1
2005,zombi_host,50,50,1.5,150,100,240,70,0,0,240 130 60,0,100,0,0,1
2010,zombi_origin,20,50,3,200,50,130,50,0,1,255 255 255,0,101,0,0,1
2011,zombi_origin,20,50,3,200,50,160,50,0,1,255 255 255,0,101,0,0,1
2012,zombi_origin,70,50,1,400,200,250,100,0,1,240 130 60,0,101,0,0,1
2013,zombi_origin,70,50,1,500,300,270,100,0,1,240 130 60,0,101,0,0,1
2020,speed_zombi_host,15,50,4.5,30,0,130,30,0,0,255 255 255,0,110,0,0,1
2021,speed_zombi_host,15,50,4.5,30,0,160,30,0,0,255 255 255,0,110,0,0,1
2022,speed_zombi_host,15,50,4.5,30,0,200,30,0,0,255 255 255,0,110,0,0,1
2030,speed_zombi_origin,30,50,3.5,150,25,240,50,0,2,255 255 255,0,111,0,0,1
2031,speed_zombi_origin,30,50,3.5,150,25,240,50,1,2,255 255 255,0,111,0,0,1
2040,heavy_zombi_host,20,50,5,130,50,70,35,0,0,255 255 255,0,120,0,0,1
2041,heavy_zombi_host,20,50,5,130,50,100,35,0,0,255 255 255,0,120,0,0,1
2050,heavy_zombi_origin,40,50,3,400,100,100,55,0,3,255 255 255,0,121,0,0,1
2051,heavy_zombi_origin,40,50,3,400,100,150,55,1,3,255 255 255,0,121,0,0,1
2060,pc_zombi_host,10,50,5,40,10,70,30,0,0,255 255 255,0,130,0,0,1
2070,pc_zombi_origin,10,50,5,60,30,100,50,0,4,255 255 255,0,131,0,0,1
2071,pc_zombi_origin,10,50,5,80,30,150,50,1,4,255 255 255,0,131,0,0,1
2080,heal_zombi_host,10,50,5,30,20,130,30,0,0,255 255 255,0,140,0,0,1
2081,heal_zombi_host,10,50,5,30,20,160,30,0,0,255 255 255,0,140,0,0,1
2090,heal_zombi_origin,15,50,5,100,30,160,100,0,5,255 255 255,0,141,0,0,1
2091,heal_zombi_origin,15,50,5,100,30,180,100,1,5,255 255 255,0,141,0,0,1
2200,zombi_host,5,1500,3,40,20,-25,40,1,6,80 228 91,0,102,0,0,1
2201,zombi_host,5,1500,3,40,20,-25,40,0,6,80 228 91,0,102,0,0,1
2202,zombi_host,5,1500,3,40,20,-40,40,0,6,80 228 91,0,102,0,0,1
2500,zbs_bossS_jun00,50,80,1,15000,1500,140,3000,1,3,255 255 255,0,150,0,0,2
2501,zbs_bossS_jun00,80,80,1,25000,2500,180,5000,1,3,255 255 255,0,150,0,0,2
2502,zbs_bossS_jun00,110,80,1,30000,3000,200,7000,1,3,255 255 255,0,150,0,0,2
2503,zbs_bossS_jun00,140,80,1,35000,3500,230,9000,1,3,255 255 255,0,150,0,0,2
2504,zbs_bossS_jun00,170,80,1,40000,4000,250,12000,1,3,255 255 255,0,150,0,0,2
2600,bonus_mon02,0,50,5,50,50,150,50,0,0,255 255 255,0,160,0,0,1
2610,speed_zombi_origin,50,50,3,2000,500,270,500,0,1,2 2 2,0,113,0,0,1
2611,speed_zombi_origin,50,50,3,2000,500,270,500,1,1,2 2 2,0,113,0,0,1
2620,heavy_zombi_origin,200,55,1.5,5000,2000,60,500,1,4,60 120 230,0,123,0,0,1
2700,speed_zombi_host,150,60,0.5,70000,20000,300,10000,0,7,210 0 240,0,114,0,0,1
