waveID,spawnPoint,startTime,endTime,intervalTime,zombi,zombiRatio,eventmessage
1,9999,0,0,0,9999,1,2045
1,9999,3,0,0,9999,1,2046
1,9999,6,0,0,9999,1,2047
1,9999,9,0,0,9999,1,2048
1,9999,12,0,0,9999,1,2049
1,9999,15,0,0,9999,1,2050
1,9999,18,0,0,9999,1,2051
1,9999,21,0,0,9999,1,2052
1,1,0,3600,15,101 102,1 1,
1,2,0,3600,15,103 104,1 1,
1,3,0,3600,15,105 106,1 1,
1,4,0,3600,15,107 108,1 1,
1,5,0,3600,15,109 110,1 1,
1,6,0,3600,15,111 112,1 1,
1,7,0,3600,15,101 102,1 1,
1,8,0,3600,15,115 116,1 1,
1,9,0,3600,15,101 102,1 1,
1,10,0,3600,15,103 104,1 1,
1,11,0,3600,15,105 106,1 1,
1,12,0,3600,15,107 108,1 1,
1,13,0,3600,15,109 110,1 1,
2,15,0,3600,2,101 102,1 1,
2,16,0,3600,3,103 104,1 1,
2,17,0,3600,2,105 106,1 1,
2,18,0,3600,3,107 108,1 1,
2,19,0,3600,2,109 110,1 1,
2,20,0,3600,3,111 112,1 1,
2,21,0,3600,2,101 102,1 1,
2,22,0,3600,3,115 116,1 1,
2,23,0,3600,2,101 102,1 1,
2,24,0,3600,3,103 104,1 1,
2,25,0,3600,2,105 106,1 1,
2,26,0,3600,3,107 108,1 1,
3,9999,0,0,0,9999,1,2055
3,9999,3,0,0,9999,1,2056
3,9999,6,0,0,9999,1,2057
3,9999,9,0,0,9999,1,2058
3,21,0,3600,2,101 102,1 1,
3,22,0,3600,3,103 104,1 1,
3,23,0,3600,2,105 106,1 1,
3,24,0,3600,3,107 108,1 1,
3,25,0,3600,2,109 110,1 1,
3,26,0,3600,3,111 112,1 1,
3,27,0,3600,2,101 102,1 1,
3,28,0,3600,3,115 116,1 1,
3,29,0,3600,2,101 102,1 1,
3,30,0,3600,3,103 104,1 1,
3,31,0,3600,2,105 106,1 1,
3,32,0,3600,3,107 108,1 1,
3,33,0,3600,2,109 110,1 1,
3,34,0,3600,3,111 112,1 1,
3,35,0,3600,2,101 102,1 1,
3,36,0,3600,3,115 116,1 1,
4,9999,0,0,0,9999,1,2059
4,9999,3,0,0,9999,1,2060
4,9999,6,0,0,9999,1,2061
4,9999,9,0,0,9999,1,2062
4,7,0,3600,8,500,1,
4,8,0,3600,8,500,1,
4,9,0,3600,8,500,1,
4,10,0,3600,8,500,1,
4,11,0,3600,8,500,1,
4,12,0,3600,8,500,1,
4,13,0,3600,8,500,1,
4,14,0,3600,8,500,1,
4,33,0,3600,2,201 202,1 1,
4,34,0,3600,3,203 204,1 1,
4,35,0,3600,2,205 206,1 1,
4,36,0,3600,3,207 208,1 1,
4,37,0,3600,2,209 210,1 1,
4,38,0,3600,3,211 212,1 1,
4,39,0,3600,8,500,1,
4,40,0,3600,8,500,1,
4,41,0,3600,8,500,1,
4,42,0,3600,8,500,1,
4,43,0,3600,8,500,1,
4,44,0,3600,8,500,1,
5,9999,0,0,0,9999,1,2063
5,9999,3,0,0,9999,1,2064
5,9999,6,0,0,9999,1,2065
5,9999,9,0,0,9999,1,2066
5,9999,12,0,0,9999,1,2067
5,9999,15,0,0,9999,1,2068
5,39,0,3600,9,201 202,1 1,
5,40,0,3600,10,203 204,1 1,
5,41,0,3600,9,205 206,1 1,
5,42,0,3600,10,207 208,1 1,
5,43,0,3600,9,209 210,1 1,
5,44,0,3600,10,211 212,1 1,
5,45,0,3600,9,213 214,1 1,
5,46,0,3600,10,215 216,1 1,
5,47,0,0,0,217,1,
5,48,0,0,0,218,1,
5,49,0,3600,7,201 202,1 1,
5,50,0,3600,8,203 204,1 1,
5,51,0,3600,7,205 206,1 1,
5,52,0,3600,8,207 208,1 1,
5,53,0,3600,7,209 210,1 1,
5,54,0,3600,8,211 212,1 1,
5,55,0,3600,7,213 214,1 1,
5,56,0,3600,8,215 216,1 1,
5,57,0,3600,7,201 202,1 1,
5,58,0,3600,8,203 204,1 1,
5,59,0,3600,7,205 206,1 1,
5,60,0,3600,8,207 208,1 1,
6,9999,0,0,0,9999,1,2074
6,9999,3,0,0,9999,1,2075
6,51,0,3600,2,201 202,1 1,
6,52,0,3600,3,203 204,1 1,
6,53,0,3600,2,205 206,1 1,
6,54,0,3600,6,500,1,
6,55,0,3600,6,500,1,
6,56,0,3600,6,500,1,
6,57,0,3600,3,207 208,1 1,
6,58,0,3600,2,209 210,1 1,
6,59,0,3600,6,500,1,
6,60,0,3600,6,500,1,
7,9999,0,0,0,9999,1,2076
7,9999,3,0,0,9999,1,2077
7,9999,6,0,0,9999,1,2078
7,9999,9,0,0,9999,1,2079
7,61,0,3600,5,301 302,1 1,
7,62,0,3600,5,303 304,1 1,
7,63,0,3600,5,305 306,1 1,
7,64,0,3600,5,307 308,1 1,
7,65,0,3600,5,309 310,1 1,
7,66,0,3600,5,311 312,1 1,
7,67,0,3600,5,313 314,1 1,
7,68,0,0,0,315 316,1 1,
7,69,0,0,0,317,1,
7,70,0,0,0,318,1,
7,71,0,3600,5,315,1,
7,72,0,3600,5,316,1,
8,9999,0,0,0,9999,1,2080
8,9999,3,0,0,9999,1,2081
8,9999,6,0,0,9999,1,2082
8,9999,9,0,0,9999,1,2083
8,9999,12,0,0,9999,1,2084
8,31600,0,0,0,31600,1,
8,73,0,3600,7,301 302,1 1,
8,74,0,3600,8,303 304,1 1,
8,75,0,3600,7,305 306,1 1,
8,76,0,3600,8,307 308,1 1,
8,77,0,3600,7,309 310,1 1,
8,78,0,3600,8,311 312,1 1,
8,79,0,3600,7,313 314,1 1,
8,80,0,3600,8,315 316,1 1,
8,81,0,0,0,317,1,
8,82,0,0,0,318,1,
8,83,0,3600,7,315,1,
8,84,0,3600,8,316,1,
8,85,0,3600,7,302,1,
8,86,0,3600,8,304,1,
8,87,0,3600,7,306,1,
8,88,0,3600,8,308,1,
