id,appearance,attackDamage,attackRange,attackInterval,health,armor,speed,bonusMoney,priority,skill,color,Killtype,EventClass,propensity,clearpoint,dropItem,exp
101,zombi_host,15,70,2,300,90,120,350,0,0,255 255 255,0,101,0,0,1,275
102,zombi_origin,25,70,2,325,110,120,450,0,0,255 255 255,0,101,0,0,1,345
103,speed_zombi_host,16,80,2,50,50,200,425,0,0,255 255 255,0,110,0,0,1,328
104,speed_zombi_origin,22,80,2,80,60,200,500,0,0,255 255 255,0,111,0,0,1,380
105,heavy_zombi_host,20,50,4,1250,600,90,1200,0,0,255 255 255,0,121,0,0,1,555
106,heavy_zombi_origin,25,60,4,1450,700,90,1300,0,0,255 255 255,0,121,0,0,1,625
107,pc_zombi_host,20,70,3,225,100,180,375,0,0,255 255 255,0,130,0,0,1,293
108,pc_zombi_origin,30,75,3,235,110,180,450,0,0,255 255 255,0,130,0,0,1,345
109,heal_zombi_origin,20,70,3,300,100,160,625,0,0,255 255 255,0,141,0,0,1,468
110,heal_zombi_host,25,70,3,350,100,160,700,0,0,255 255 255,0,141,0,0,1,520
111,resident_zombi_origin,15,45,3,300,55,260,550,0,10,255 255 255,0,145,0,0,1,415
112,resident_zombi_host,20,45,3,450,55,260,650,0,10,255 255 255,0,145,0,0,1,485
113,boomer_zombi_host,35,50,4,1000,100,90,500,0,11,255 255 255,0,146,0,0,1,380
114,boomer_zombi_origin,40,60,4,1250,150,90,600,0,11,255 255 255,0,146,0,0,1,450
115,zombiedog,25,55,2,115,80,330,425,0,12,255 255 255,0,144,0,0,1,328
116,zombieclimber,100,100,3,750,200,160,1000,0,0,255 255 255,0,147,0,0,1,1500
117,deimos_zombi_host,100,75,3,12500,12500,250,15000,1,0,255 255 255,0,181,0,0,1,10500
118,deimos_zombi_origin,100,75,3,15000,15000,270,17500,1,0,255 255 255,0,181,0,0,1,12250
201,zombi_host,30,75,2,400,130,120,650,0,0,255 255 255,0,101,0,0,1,485
202,zombi_origin,35,75,2,425,150,120,800,0,0,255 255 255,0,101,0,0,1,590
203,speed_zombi_host,26,85,2,125,100,200,650,0,0,255 255 255,0,110,0,0,1,485
204,speed_zombi_origin,30,85,2,150,125,220,800,0,0,255 255 255,0,111,0,0,1,590
205,heavy_zombi_host,30,60,3,1600,800,95,1500,0,0,255 255 255,0,121,0,0,1,765
206,heavy_zombi_origin,35,70,3,2000,950,95,1800,0,0,255 255 255,0,121,0,0,1,870
207,pc_zombi_host,35,75,2,320,120,200,650,0,0,255 255 255,0,130,0,0,1,485
208,pc_zombi_origin,40,80,2,325,130,200,900,0,0,255 255 255,0,130,0,0,1,660
209,heal_zombi_origin,30,80,3,400,150,160,800,0,0,255 255 255,0,141,0,0,1,590
210,heal_zombi_host,30,80,3,450,200,160,1000,0,0,255 255 255,0,141,0,0,1,730
211,resident_zombi_origin,33,45,3,550,65,270,800,0,10,255 255 255,0,145,0,0,1,590
212,resident_zombi_host,38,50,3,600,65,270,1050,0,10,255 255 255,0,145,0,0,1,765
213,boomer_zombi_host,45,60,4,1500,150,90,750,0,11,255 255 255,0,146,0,0,1,555
214,boomer_zombi_origin,50,70,3,2000,200,90,850,0,11,255 255 255,0,146,0,0,1,625
215,zombiedog,45,75,2,80,80,320,350,0,12,255 255 255,0,101,0,0,1,275
216,zombieclimber,125,100,3,1000,250,180,1500,0,0,255 255 255,0,147,0,0,1,1750
217,deimos_zombi_host,125,75,3,17500,17500,250,15000,1,0,255 255 255,0,181,0,0,1,10500
218,deimos_zombi_origin,125,75,3,20000,20000,270,17500,1,0,255 255 255,0,181,0,0,1,12250
301,zombi_host,35,75,2,550,170,120,1000,0,0,255 255 255,0,101,0,0,1,730
302,zombi_origin,40,75,2,600,190,120,1200,0,0,255 255 255,0,101,0,0,1,870
303,speed_zombi_origin,35,85,2,170,125,220,1100,0,0,255 255 255,0,111,0,0,1,800
304,speed_zombi_origin,40,85,2,200,125,220,1300,0,0,255 255 255,0,111,0,0,1,940
305,heavy_zombi_origin,40,70,3,2550,1200,100,2000,0,0,255 255 255,0,121,0,0,1,1080
306,heavy_zombi_origin,42,70,3,3200,1300,100,2500,0,0,255 255 255,0,121,0,0,1,1185
307,pc_zombi_origin,40,80,2,375,140,200,1000,0,0,255 255 255,0,130,0,0,1,730
308,pc_zombi_origin,40,80,2,395,150,200,1200,0,0,255 255 255,0,130,0,0,1,870
309,heal_zombi_host,35,80,3,500,200,160,1200,0,0,255 255 255,0,141,0,0,1,870
310,heal_zombi_host,35,80,3,550,200,160,1400,0,0,255 255 255,0,141,0,0,1,1010
311,resident_zombi_origin,43,55,3,625,70,270,1250,0,10,255 255 255,0,145,0,0,1,905
312,resident_zombi_host,50,55,3,650,70,270,1250,0,10,255 255 255,0,145,0,0,1,905
313,boomer_zombi_host,55,70,3,2250,200,90,1000,0,11,255 255 255,0,146,0,0,1,730
314,boomer_zombi_origin,60,70,3,2500,225,90,1250,0,11,255 255 255,0,146,0,0,1,730
315,zombiedog,75,60,1,300,150,375,1500,0,12,200 0 0,0,144,0,0,1,1250
316,zombieclimber,150,100,3,1250,300,200,2000,0,0,255 255 255,0,147,0,0,1,2000
317,deimos_zombi_host,150,75,3,22500,22500,250,15000,1,0,255 255 255,0,181,0,0,1,10500
318,deimos_zombi_origin,150,75,3,25000,25000,270,17500,1,0,255 255 255,0,181,0,0,1,12250
400,zbs_bossS_jun01,175,80,3,30000,27500,275,27500,1,9,200 0 0,0,182,0,0,2,27500
500,zombi_host,5,1500,10,200,20,-25,200,0,6,80 228 91,0,102,0,0,1,170
31600,bootleg,1,300,2,800000,800000,200,32000,2,1000,255 255 255,0,172,2,100,3,32000
31601,bootleg,1,300,2,450000,450000,230,32000,2,1001,255 255 255,0,172,2,100,3,32000
